     distance         timeN            Tn             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40 
  1.000000000E+005   1.2676E-009   1.0003E+001   2.0758E+000   3.5814E+000   1.9742E+000   5.2574E-001   7.3954E-002   5.6884E-003   2.4339E-004   5.8497E-006   7.9465E-008   6.1268E-010   2.6891E-012   6.7339E-015   9.6376E-018   7.8948E-021   3.7060E-024   9.9796E-028   1.5429E-031   1.3707E-035   7.0028E-040   2.0589E-044   3.4861E-049   3.4081E-054   1.9185E-059   6.2310E-065   1.1690E-070   1.2657E-076   7.9345E-083   2.8741E-089   6.0350E-096   7.3313E-103   5.1685E-110   2.1127E-117   5.0173E-125   6.9163E-133   5.5510E-141   2.5889E-149   7.0376E-158   1.1140E-166   1.0290E-175   5.5513E-185   1.7495E-194 
  3.277596944E+005   4.1556E-009   1.0032E+001   2.0768E+000   3.5831E+000   1.9751E+000   5.2599E-001   7.3989E-002   5.6911E-003   2.4350E-004   5.8525E-006   7.9503E-008   6.1297E-010   2.6904E-012   6.7370E-015   9.6422E-018   7.8986E-021   3.7077E-024   9.9843E-028   1.5436E-031   1.3713E-035   7.0061E-040   2.0599E-044   3.4878E-049   3.4097E-054   1.9194E-059   6.2340E-065   1.1695E-070   1.2663E-076   7.9382E-083   2.8755E-089   6.0379E-096   7.3348E-103   5.1710E-110   2.1137E-117   5.0197E-125   6.9195E-133   5.5536E-141   2.5901E-149   7.0409E-158   1.1145E-166   1.0295E-175   5.5539E-185   1.7503E-194 
  1.573974732E+006   2.0008E-008   1.3704E+001   2.0918E+000   3.6089E+000   1.9893E+000   5.2977E-001   7.4522E-002   5.7321E-003   2.4526E-004   5.8946E-006   8.0075E-008   6.1739E-010   2.7097E-012   6.7856E-015   9.7116E-018   7.9554E-021   3.7344E-024   1.0056E-027   1.5547E-031   1.3812E-035   7.0565E-040   2.0747E-044   3.5129E-049   3.4342E-054   1.9332E-059   6.2789E-065   1.1780E-070   1.2755E-076   7.9954E-083   2.8962E-089   6.0813E-096   7.3876E-103   5.2082E-110   2.1289E-117   5.0558E-125   6.9693E-133   5.5936E-141   2.6087E-149   7.0916E-158   1.1226E-166   1.0369E-175   5.5939E-185   1.7629E-194 
  2.692993440E+006   3.4389E-008   3.5678E+001   2.1193E+000   3.6564E+000   2.0155E+000   5.3675E-001   7.5503E-002   5.8075E-003   2.4848E-004   5.9722E-006   8.1129E-008   6.2551E-010   2.7454E-012   6.8749E-015   9.8394E-018   8.0602E-021   3.7836E-024   1.0189E-027   1.5752E-031   1.3994E-035   7.1494E-040   2.1020E-044   3.5591E-049   3.4794E-054   1.9587E-059   6.3615E-065   1.1935E-070   1.2922E-076   8.1006E-083   2.9343E-089   6.1614E-096   7.4848E-103   5.2767E-110   2.1569E-117   5.1224E-125   7.0611E-133   5.6672E-141   2.6431E-149   7.1849E-158   1.1373E-166   1.0505E-175   5.6676E-185   1.7861E-194 
  3.685789223E+006   4.7342E-008   9.2133E+001   2.1554E+000   3.7186E+000   2.0498E+000   5.4588E-001   7.6788E-002   5.9064E-003   2.5271E-004   6.0738E-006   8.2510E-008   6.3616E-010   2.7921E-012   6.9919E-015   1.0007E-017   8.1973E-021   3.8480E-024   1.0362E-027   1.6020E-031   1.4232E-035   7.2711E-040   2.1378E-044   3.6197E-049   3.5387E-054   1.9920E-059   6.4698E-065   1.2138E-070   1.3142E-076   8.2385E-083   2.9843E-089   6.2663E-096   7.6122E-103   5.3665E-110   2.1936E-117   5.2095E-125   7.1813E-133   5.7637E-141   2.6880E-149   7.3072E-158   1.1567E-166   1.0684E-175   5.7640E-185   1.8165E-194 
  4.854790880E+006   6.2925E-008   2.3947E+002   2.2127E+000   3.8176E+000   2.1044E+000   5.6041E-001   7.8831E-002   6.0636E-003   2.5944E-004   6.2355E-006   8.4706E-008   6.5309E-010   2.8664E-012   7.1780E-015   1.0273E-017   8.4155E-021   3.9504E-024   1.0638E-027   1.6446E-031   1.4611E-035   7.4646E-040   2.1947E-044   3.7160E-049   3.6328E-054   2.0450E-059   6.6420E-065   1.2461E-070   1.3492E-076   8.4578E-083   3.0637E-089   6.4330E-096   7.8148E-103   5.5094E-110   2.2520E-117   5.3482E-125   7.3724E-133   5.9171E-141   2.7596E-149   7.5017E-158   1.1875E-166   1.0968E-175   5.9174E-185   1.8649E-194 
  6.023792537E+006   7.8978E-008   5.2173E+002   2.2875E+000   3.9466E+000   2.1755E+000   5.7935E-001   8.1495E-002   6.2685E-003   2.6821E-004   6.4462E-006   8.7568E-008   6.7516E-010   2.9633E-012   7.4205E-015   1.0620E-017   8.6999E-021   4.0839E-024   1.0997E-027   1.7002E-031   1.5105E-035   7.7168E-040   2.2689E-044   3.8416E-049   3.7556E-054   2.1141E-059   6.8664E-065   1.2882E-070   1.3948E-076   8.7435E-083   3.1672E-089   6.6504E-096   8.0789E-103   5.6955E-110   2.3281E-117   5.5289E-125   7.6215E-133   6.1170E-141   2.8528E-149   7.7551E-158   1.2276E-166   1.1339E-175   6.1174E-185   1.9279E-194 
  7.192794193E+006   9.5632E-008   9.9259E+002   2.3814E+000   4.1086E+000   2.2648E+000   6.0314E-001   8.4842E-002   6.5259E-003   2.7922E-004   6.7109E-006   9.1164E-008   7.0288E-010   3.0850E-012   7.7252E-015   1.1057E-017   9.0571E-021   4.2516E-024   1.1449E-027   1.7700E-031   1.5725E-035   8.0337E-040   2.3620E-044   3.9993E-049   3.9098E-054   2.2009E-059   7.1484E-065   1.3411E-070   1.4521E-076   9.1026E-083   3.2973E-089   6.9235E-096   8.4106E-103   5.9294E-110   2.4237E-117   5.7560E-125   7.9345E-133   6.3682E-141   2.9700E-149   8.0736E-158   1.2780E-166   1.1805E-175   6.3686E-185   2.0071E-194 
  8.361795850E+006   1.1303E-007   1.7045E+003   2.4968E+000   4.3077E+000   2.3746E+000   6.3236E-001   8.8952E-002   6.8421E-003   2.9275E-004   7.0360E-006   9.5581E-008   7.3694E-010   3.2345E-012   8.0995E-015   1.1592E-017   9.4960E-021   4.4576E-024   1.2004E-027   1.8558E-031   1.6487E-035   8.4230E-040   2.4765E-044   4.1931E-049   4.0993E-054   2.3076E-059   7.4947E-065   1.4061E-070   1.5224E-076   9.5436E-083   3.4570E-089   7.2590E-096   8.8181E-103   6.2167E-110   2.5411E-117   6.0348E-125   8.3189E-133   6.6767E-141   3.1139E-149   8.4648E-158   1.3400E-166   1.2376E-175   6.6772E-185   2.1043E-194 
  9.530797507E+006   1.3134E-007   2.7032E+003   2.6364E+000   4.5486E+000   2.5074E+000   6.6772E-001   9.3927E-002   7.2247E-003   3.0912E-004   7.4295E-006   1.0093E-007   7.7815E-010   3.4153E-012   8.5525E-015   1.2240E-017   1.0027E-020   4.7069E-024   1.2675E-027   1.9596E-031   1.7409E-035   8.8940E-040   2.6150E-044   4.4276E-049   4.3285E-054   2.4366E-059   7.9139E-065   1.4847E-070   1.6076E-076   1.0077E-082   3.6504E-089   7.6649E-096   9.3113E-103   6.5644E-110   2.6832E-117   6.3723E-125   8.7841E-133   7.0501E-141   3.2880E-149   8.9382E-158   1.4149E-166   1.3069E-175   7.0506E-185   2.2220E-194 
