     distance         timeN            Tn             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40 
  1.000000000E+005   1.2676E-009   1.0003E+001   0.0000E+000   3.5843E-004   5.0864E-004   2.2578E-004   4.4663E-005   4.4076E-006   2.2948E-007   6.4908E-009   1.0130E-010   8.8131E-013   4.3011E-015   1.1851E-017   1.8473E-020   1.6355E-023   8.2442E-027   2.3690E-030   3.8886E-034   3.6503E-038   1.9626E-042   6.0503E-047   1.0704E-051   1.0904E-056   6.3716E-062   2.1449E-067   4.1591E-073   4.6416E-079   2.9933E-085   1.1127E-091   2.3955E-098   2.9745E-105   2.1412E-112   8.9198E-120   2.1561E-127   3.0187E-135   2.4573E-143   1.1603E-151   3.1896E-160   5.0995E-169   4.7489E-178   2.5797E-187   8.1755E-197 
  3.277596944E+005   4.1556E-009   1.0032E+001   0.0000E+000   2.6919E-003   3.8199E-003   1.6957E-003   3.3542E-004   3.3101E-005   1.7234E-006   4.8747E-008   7.6081E-010   6.6187E-012   3.2302E-014   8.9002E-017   1.3873E-019   1.2282E-022   6.1915E-026   1.7792E-029   2.9204E-033   2.7414E-037   1.4740E-041   4.5438E-046   8.0385E-051   8.1891E-056   4.7852E-061   1.6108E-066   3.1235E-072   3.4859E-078   2.2480E-084   8.3567E-091   1.7990E-097   2.2339E-104   1.6080E-111   6.6988E-119   1.6193E-126   2.2671E-134   1.8454E-142   8.7142E-151   2.3954E-159   3.8298E-168   3.5665E-177   1.9374E-186   6.1399E-196 
  1.573974732E+006   2.0008E-008   1.3704E+001   0.0000E+000   3.8922E-002   5.5233E-002   2.4518E-002   4.8499E-003   4.7862E-004   2.4919E-005   7.0484E-007   1.1001E-008   9.5702E-011   4.6706E-013   1.2869E-015   2.0060E-018   1.7760E-021   8.9525E-025   2.5726E-028   4.2226E-032   3.9639E-036   2.1312E-040   6.5701E-045   1.1623E-049   1.1841E-054   6.9190E-060   2.3292E-065   4.5164E-071   5.0404E-077   3.2504E-083   1.2083E-089   2.6013E-096   3.2301E-103   2.3251E-110   9.6861E-118   2.3414E-125   3.2780E-133   2.6684E-141   1.2600E-149   3.4636E-158   5.5376E-167   5.1569E-176   2.8013E-185   8.8779E-195 
  2.692993440E+006   3.4389E-008   3.5678E+001   0.0000E+000   1.0220E-001   1.4503E-001   6.4380E-002   1.2735E-002   1.2568E-003   6.5434E-005   1.8508E-006   2.8886E-008   2.5130E-010   1.2264E-012   3.3792E-015   5.2673E-018   4.6634E-021   2.3508E-024   6.7551E-028   1.1088E-031   1.0408E-035   5.5962E-040   1.7252E-044   3.0520E-049   3.1092E-054   1.8168E-059   6.1160E-065   1.1859E-070   1.3235E-076   8.5350E-083   3.1728E-089   6.8305E-096   8.4815E-103   6.1053E-110   2.5434E-117   6.1480E-125   8.6075E-133   7.0067E-141   3.3086E-149   9.0948E-158   1.4541E-166   1.3541E-175   7.3556E-185   2.3312E-194 
  3.685789223E+006   4.7342E-008   9.2133E+001   0.0000E+000   1.8179E-001   2.5797E-001   1.1451E-001   2.2652E-002   2.2354E-003   1.1639E-004   3.2919E-006   5.1379E-008   4.4697E-010   2.1814E-012   6.0105E-015   9.3688E-018   8.2946E-021   4.1812E-024   1.2015E-027   1.9722E-031   1.8513E-035   9.9538E-040   3.0685E-044   5.4285E-049   5.5302E-054   3.2315E-059   1.0878E-064   2.1094E-070   2.3541E-076   1.5181E-082   5.6434E-089   1.2149E-095   1.5086E-102   1.0859E-109   4.5238E-117   1.0935E-124   1.5310E-132   1.2463E-140   5.8848E-149   1.6177E-157   2.5863E-166   2.4085E-175   1.3083E-184   4.1464E-194 
  4.854790880E+006   6.2925E-008   2.3947E+002   0.0000E+000   3.0253E-001   4.2931E-001   1.9057E-001   3.7697E-002   3.7202E-003   1.9369E-004   5.4785E-006   8.5506E-008   7.4387E-010   3.6303E-012   1.0003E-014   1.5592E-017   1.3804E-020   6.9585E-024   1.9996E-027   3.2821E-031   3.0810E-035   1.6565E-039   5.1067E-044   9.0343E-049   9.2036E-054   5.3780E-059   1.8104E-064   3.5105E-070   3.9177E-076   2.5265E-082   9.3920E-089   2.0219E-095   2.5106E-102   1.8072E-109   7.5287E-117   1.8199E-124   2.5479E-132   2.0741E-140   9.7937E-149   2.6922E-157   4.3042E-166   4.0083E-175   2.1774E-184   6.9006E-194 
  6.023792537E+006   7.8978E-008   5.2173E+002   0.0000E+000   4.5037E-001   6.3910E-001   2.8370E-001   5.6118E-002   5.5381E-003   2.8834E-004   8.1557E-006   1.2729E-007   1.1074E-009   5.4043E-012   1.4891E-014   2.3211E-017   2.0550E-020   1.0359E-023   2.9767E-027   4.8860E-031   4.5865E-035   2.4660E-039   7.6022E-044   1.3449E-048   1.3701E-053   8.0060E-059   2.6951E-064   5.2259E-070   5.8322E-076   3.7610E-082   1.3981E-088   3.0099E-095   3.7375E-102   2.6904E-109   1.1208E-116   2.7092E-124   3.7930E-132   3.0876E-140   1.4579E-148   4.0077E-157   6.4075E-166   5.9670E-175   3.2413E-184   1.0273E-193 
  7.192794193E+006   9.5632E-008   9.9259E+002   0.0000E+000   6.2260E-001   8.8351E-001   3.9219E-001   7.7580E-002   7.6560E-003   3.9861E-004   1.1275E-005   1.7597E-007   1.5309E-009   7.4711E-012   2.0585E-014   3.2087E-017   2.8408E-020   1.4320E-023   4.1151E-027   6.7545E-031   6.3406E-035   3.4091E-039   1.0509E-043   1.8592E-048   1.8941E-053   1.1068E-058   3.7257E-064   7.2244E-070   8.0626E-076   5.1993E-082   1.9328E-088   4.1610E-095   5.1668E-102   3.7192E-109   1.5494E-116   3.7452E-124   5.2435E-132   4.2683E-140   2.0155E-148   5.5404E-157   8.8579E-166   8.2489E-175   4.4809E-184   1.4201E-193 
  8.361795850E+006   1.1303E-007   1.7045E+003   0.0000E+000   8.1610E-001   1.1581E+000   5.1408E-001   1.0169E-001   1.0035E-002   5.2250E-004   1.4779E-005   2.3066E-007   2.0066E-009   9.7931E-012   2.6983E-014   4.2060E-017   3.7237E-020   1.8771E-023   5.3940E-027   8.8537E-031   8.3111E-035   4.4686E-039   1.3776E-043   2.4371E-048   2.4827E-053   1.4507E-058   4.8836E-064   9.4697E-070   1.0568E-075   6.8152E-082   2.5335E-088   5.4542E-095   6.7726E-102   4.8751E-109   2.0309E-116   4.9092E-124   6.8732E-132   5.5949E-140   2.6419E-148   7.2623E-157   1.1611E-165   1.0813E-174   5.8735E-184   1.8615E-193 
  9.530797507E+006   1.3134E-007   2.7032E+003   0.0000E+000   1.0273E+000   1.4579E+000   6.4714E-001   1.2801E-001   1.2633E-002   6.5774E-004   1.8604E-005   2.9036E-007   2.5260E-009   1.2328E-011   3.3968E-014   5.2947E-017   4.6876E-020   2.3630E-023   6.7902E-027   1.1145E-030   1.0462E-034   5.6253E-039   1.7341E-043   3.0679E-048   3.1254E-053   1.8262E-058   6.1477E-064   1.1921E-069   1.3304E-075   8.5793E-082   3.1893E-088   6.8660E-095   8.5256E-102   6.1370E-109   2.5566E-116   6.1799E-124   8.6522E-132   7.0431E-140   3.3257E-148   9.1420E-157   1.4616E-165   1.3611E-174   7.3939E-184   2.3433E-193 
  1.069979916E+007   1.5074E-007   4.0228E+003   0.0000E+000   1.2525E+000   1.7774E+000   7.8896E-001   1.5607E-001   1.5402E-002   8.0188E-004   2.2681E-005   3.5399E-007   3.0796E-009   1.5030E-011   4.1412E-014   6.4550E-017   5.7149E-020   2.8808E-023   8.2782E-027   1.3588E-030   1.2755E-034   6.8581E-039   2.1142E-043   3.7402E-048   3.8103E-053   2.2265E-058   7.4950E-064   1.4533E-069   1.6219E-075   1.0459E-081   3.8883E-088   8.3706E-095   1.0394E-101   7.4820E-109   3.1169E-116   7.5342E-124   1.0548E-131   8.5866E-140   4.0546E-148   1.1146E-156   1.7819E-165   1.6594E-174   9.0142E-184   2.8568E-193 
  1.256066231E+007   1.8442E-007   6.8228E+003   0.0000E+000   1.6297E+000   2.3126E+000   1.0266E+000   2.0307E-001   2.0040E-002   1.0434E-003   2.9511E-005   4.6060E-007   4.0070E-009   1.9556E-011   5.3882E-014   8.3989E-017   7.4359E-020   3.7484E-023   1.0771E-026   1.7680E-030   1.6596E-034   8.9234E-039   2.7509E-043   4.8665E-048   4.9577E-053   2.8970E-058   9.7521E-064   1.8910E-069   2.1104E-075   1.3609E-081   5.0592E-088   1.0891E-094   1.3524E-101   9.7351E-109   4.0555E-116   9.8031E-124   1.3725E-131   1.1172E-139   5.2756E-148   1.4502E-156   2.3185E-165   2.1592E-174   1.1729E-183   3.7171E-193 
  1.708620057E+007   2.8704E-007   1.6684E+004   0.0000E+000   2.5369E+000   3.6000E+000   1.5980E+000   3.1611E-001   3.1195E-002   1.6242E-003   4.5940E-005   7.1700E-007   6.2376E-009   3.0442E-011   8.3878E-014   1.3074E-016   1.1575E-019   5.8350E-023   1.6767E-026   2.7522E-030   2.5835E-034   1.3891E-038   4.2822E-043   7.5757E-048   7.7176E-053   4.5097E-058   1.5181E-063   2.9437E-069   3.2852E-075   2.1185E-081   7.8756E-088   1.6954E-094   2.1053E-101   1.5154E-108   6.3131E-116   1.5260E-123   2.1365E-131   1.7392E-139   8.2124E-148   2.2575E-156   3.6092E-165   3.3611E-174   1.8258E-183   5.7864E-193 
  2.431497474E+007   5.5373E-007   3.1842E+004   0.0000E+000   3.4580E+000   4.9071E+000   2.1782E+000   4.3088E-001   4.2522E-002   2.2139E-003   6.2620E-005   9.7734E-007   8.5024E-009   4.1495E-011   1.1433E-013   1.7821E-016   1.5778E-019   7.9536E-023   2.2855E-026   3.7515E-030   3.5216E-034   1.8934E-038   5.8370E-043   1.0326E-047   1.0520E-052   6.1470E-058   2.0693E-063   4.0125E-069   4.4780E-075   2.8877E-081   1.0735E-087   2.3110E-094   2.8697E-101   2.0657E-108   8.6053E-116   2.0801E-123   2.9123E-131   2.3706E-139   1.1194E-147   3.0772E-156   4.9197E-165   4.5815E-174   2.4887E-183   7.8874E-193 
  2.698824477E+007   6.8597E-007   3.3415E+004   0.0000E+000   3.5268E+000   5.0048E+000   2.2216E+000   4.3946E-001   4.3369E-002   2.2580E-003   6.3867E-005   9.9680E-007   8.6718E-009   4.2321E-011   1.1661E-013   1.8176E-016   1.6092E-019   8.1120E-023   2.3310E-026   3.8262E-030   3.5917E-034   1.9311E-038   5.9533E-043   1.0532E-047   1.0729E-052   6.2695E-058   2.1105E-063   4.0924E-069   4.5672E-075   2.9453E-081   1.0949E-087   2.3571E-094   2.9268E-101   2.1068E-108   8.7767E-116   2.1215E-123   2.9703E-131   2.4179E-139   1.1417E-147   3.1384E-156   5.0177E-165   4.6727E-174   2.5383E-183   8.0444E-193 
  2.699596932E+007   6.8636E-007   3.3415E+004   0.0000E+000   3.5268E+000   5.0048E+000   2.2216E+000   4.3946E-001   4.3369E-002   2.2580E-003   6.3867E-005   9.9680E-007   8.6718E-009   4.2321E-011   1.1661E-013   1.8176E-016   1.6092E-019   8.1120E-023   2.3310E-026   3.8262E-030   3.5917E-034   1.9311E-038   5.9533E-043   1.0532E-047   1.0729E-052   6.2695E-058   2.1105E-063   4.0924E-069   4.5672E-075   2.9453E-081   1.0949E-087   2.3571E-094   2.9268E-101   2.1068E-108   8.7767E-116   2.1215E-123   2.9703E-131   2.4179E-139   1.1417E-147   3.1384E-156   5.0177E-165   4.6727E-174   2.5383E-183   8.0444E-193 
  2.930484190E+007   8.0332E-007   3.3414E+004   0.0000E+000   3.5268E+000   5.0048E+000   2.2216E+000   4.3946E-001   4.3369E-002   2.2580E-003   6.3867E-005   9.9680E-007   8.6718E-009   4.2322E-011   1.1661E-013   1.8176E-016   1.6092E-019   8.1120E-023   2.3310E-026   3.8262E-030   3.5917E-034   1.9312E-038   5.9533E-043   1.0532E-047   1.0729E-052   6.2695E-058   2.1105E-063   4.0924E-069   4.5672E-075   2.9453E-081   1.0949E-087   2.3571E-094   2.9268E-101   2.1068E-108   8.7767E-116   2.1216E-123   2.9703E-131   2.4179E-139   1.1417E-147   3.1384E-156   5.0177E-165   4.6727E-174   2.5383E-183   8.0445E-193 
