     distance         timeN            Tn             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40 
  1.000000000E+005   1.2676E-009   1.0000E+001   0.0000E+000   1.9119E-001   2.7132E-001   1.2044E-001   2.3824E-002   2.3511E-003   1.2241E-004   3.4623E-006   5.4038E-008   4.7011E-010   2.2943E-012   6.3215E-015   9.8536E-018   8.7238E-021   4.3976E-024   1.2637E-027   2.0742E-031   1.9471E-035   1.0469E-039   3.2273E-044   5.7095E-049   5.8164E-054   3.3987E-059   1.1441E-064   2.2185E-070   2.4759E-076   1.5967E-082   5.9355E-089   1.2778E-095   1.5867E-102   1.1421E-109   4.7580E-117   1.1501E-124   1.6102E-132   1.3108E-140   6.1894E-149   1.7014E-157   2.7201E-166   2.5331E-175   1.3760E-184   4.3610E-194 
  7.023518923E+005   8.9027E-009   1.0000E+001   0.0000E+000   1.9119E-001   2.7132E-001   1.2044E-001   2.3824E-002   2.3511E-003   1.2241E-004   3.4623E-006   5.4038E-008   4.7011E-010   2.2943E-012   6.3215E-015   9.8536E-018   8.7238E-021   4.3976E-024   1.2637E-027   2.0742E-031   1.9471E-035   1.0469E-039   3.2273E-044   5.7095E-049   5.8164E-054   3.3987E-059   1.1441E-064   2.2185E-070   2.4759E-076   1.5967E-082   5.9355E-089   1.2778E-095   1.5867E-102   1.1421E-109   4.7580E-117   1.1501E-124   1.6102E-132   1.3108E-140   6.1894E-149   1.7014E-157   2.7201E-166   2.5331E-175   1.3760E-184   4.3610E-194 
  5.010482483E+006   6.3510E-008   1.0000E+001   0.0000E+000   1.9119E-001   2.7132E-001   1.2044E-001   2.3824E-002   2.3511E-003   1.2241E-004   3.4623E-006   5.4038E-008   4.7011E-010   2.2943E-012   6.3215E-015   9.8536E-018   8.7238E-021   4.3976E-024   1.2637E-027   2.0742E-031   1.9471E-035   1.0469E-039   3.2273E-044   5.7095E-049   5.8164E-054   3.3987E-059   1.1441E-064   2.2185E-070   2.4759E-076   1.5967E-082   5.9355E-089   1.2778E-095   1.5867E-102   1.1421E-109   4.7580E-117   1.1501E-124   1.6102E-132   1.3108E-140   6.1894E-149   1.7014E-157   2.7201E-166   2.5331E-175   1.3760E-184   4.3610E-194 
  2.258623810E+007   2.8629E-007   1.0000E+001   0.0000E+000   1.9119E-001   2.7132E-001   1.2044E-001   2.3824E-002   2.3511E-003   1.2241E-004   3.4623E-006   5.4038E-008   4.7011E-010   2.2943E-012   6.3215E-015   9.8536E-018   8.7238E-021   4.3976E-024   1.2637E-027   2.0742E-031   1.9471E-035   1.0469E-039   3.2273E-044   5.7095E-049   5.8164E-054   3.3987E-059   1.1441E-064   2.2185E-070   2.4759E-076   1.5967E-082   5.9355E-089   1.2778E-095   1.5867E-102   1.1421E-109   4.7580E-117   1.1501E-124   1.6102E-132   1.3108E-140   6.1894E-149   1.7014E-157   2.7201E-166   2.5331E-175   1.3760E-184   4.3610E-194 
  5.163112052E+007   6.5445E-007   1.0000E+001   0.0000E+000   1.9119E-001   2.7132E-001   1.2044E-001   2.3824E-002   2.3511E-003   1.2241E-004   3.4623E-006   5.4038E-008   4.7011E-010   2.2943E-012   6.3215E-015   9.8536E-018   8.7238E-021   4.3976E-024   1.2637E-027   2.0742E-031   1.9471E-035   1.0469E-039   3.2273E-044   5.7095E-049   5.8164E-054   3.3987E-059   1.1441E-064   2.2185E-070   2.4759E-076   1.5967E-082   5.9355E-089   1.2778E-095   1.5867E-102   1.1421E-109   4.7580E-117   1.1501E-124   1.6102E-132   1.3108E-140   6.1894E-149   1.7014E-157   2.7201E-166   2.5331E-175   1.3760E-184   4.3610E-194 
  8.067600293E+007   1.0226E-006   1.0000E+001   0.0000E+000   1.9119E-001   2.7132E-001   1.2044E-001   2.3824E-002   2.3511E-003   1.2241E-004   3.4623E-006   5.4038E-008   4.7011E-010   2.2943E-012   6.3215E-015   9.8536E-018   8.7238E-021   4.3976E-024   1.2637E-027   2.0742E-031   1.9471E-035   1.0469E-039   3.2273E-044   5.7095E-049   5.8164E-054   3.3987E-059   1.1441E-064   2.2185E-070   2.4759E-076   1.5967E-082   5.9355E-089   1.2778E-095   1.5867E-102   1.1421E-109   4.7580E-117   1.1501E-124   1.6102E-132   1.3108E-140   6.1894E-149   1.7014E-157   2.7201E-166   2.5331E-175   1.3760E-184   4.3610E-194 
  1.097208853E+008   1.3908E-006   1.0000E+001   0.0000E+000   1.9119E-001   2.7132E-001   1.2044E-001   2.3824E-002   2.3511E-003   1.2241E-004   3.4623E-006   5.4038E-008   4.7011E-010   2.2943E-012   6.3215E-015   9.8536E-018   8.7238E-021   4.3976E-024   1.2637E-027   2.0742E-031   1.9471E-035   1.0469E-039   3.2273E-044   5.7095E-049   5.8164E-054   3.3987E-059   1.1441E-064   2.2185E-070   2.4759E-076   1.5967E-082   5.9355E-089   1.2778E-095   1.5867E-102   1.1421E-109   4.7580E-117   1.1501E-124   1.6102E-132   1.3108E-140   6.1894E-149   1.7014E-157   2.7201E-166   2.5331E-175   1.3760E-184   4.3610E-194 
  2.047371493E+008   2.5951E-006   1.0000E+001   0.0000E+000   1.9119E-001   2.7132E-001   1.2044E-001   2.3824E-002   2.3511E-003   1.2241E-004   3.4623E-006   5.4038E-008   4.7011E-010   2.2943E-012   6.3215E-015   9.8536E-018   8.7238E-021   4.3976E-024   1.2637E-027   2.0742E-031   1.9471E-035   1.0469E-039   3.2273E-044   5.7095E-049   5.8164E-054   3.3987E-059   1.1441E-064   2.2185E-070   2.4759E-076   1.5967E-082   5.9355E-089   1.2778E-095   1.5867E-102   1.1421E-109   4.7580E-117   1.1501E-124   1.6102E-132   1.3108E-140   6.1894E-149   1.7014E-157   2.7201E-166   2.5331E-175   1.3760E-184   4.3610E-194 
  1.503523267E+009   1.9058E-005   1.0000E+001   0.0000E+000   1.9119E-001   2.7132E-001   1.2044E-001   2.3824E-002   2.3511E-003   1.2241E-004   3.4623E-006   5.4038E-008   4.7011E-010   2.2943E-012   6.3215E-015   9.8536E-018   8.7238E-021   4.3976E-024   1.2637E-027   2.0742E-031   1.9471E-035   1.0469E-039   3.2273E-044   5.7095E-049   5.8164E-054   3.3987E-059   1.1441E-064   2.2185E-070   2.4759E-076   1.5967E-082   5.9355E-089   1.2778E-095   1.5867E-102   1.1421E-109   4.7580E-117   1.1501E-124   1.6102E-132   1.3108E-140   6.1894E-149   1.7014E-157   2.7201E-166   2.5331E-175   1.3760E-184   4.3610E-194 
  9.786887936E+009   1.2405E-004   1.0000E+001   0.0000E+000   1.9119E-001   2.7132E-001   1.2044E-001   2.3824E-002   2.3511E-003   1.2241E-004   3.4623E-006   5.4038E-008   4.7011E-010   2.2943E-012   6.3215E-015   9.8536E-018   8.7238E-021   4.3976E-024   1.2637E-027   2.0742E-031   1.9471E-035   1.0469E-039   3.2273E-044   5.7095E-049   5.8164E-054   3.3987E-059   1.1441E-064   2.2185E-070   2.4759E-076   1.5967E-082   5.9355E-089   1.2778E-095   1.5867E-102   1.1421E-109   4.7580E-117   1.1501E-124   1.6102E-132   1.3108E-140   6.1894E-149   1.7014E-157   2.7201E-166   2.5331E-175   1.3760E-184   4.3610E-194 
