     distance         timeN            Tn           0.0           0.1          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          ****          **** 
  1.000000000E+005   1.2676E-009   1.0003E+001   1.8074E-004   1.7930E-004   1.5908E-009   1.5454E-009   1.1595E-012   1.1336E-012   3.4759E-016   3.3290E-016   8.7130E-017   8.1691E-017   2.4468E-022   2.3529E-022   2.9165E-026   2.6017E-026   5.4173E-031   5.2758E-031   5.8472E-038   4.8959E-038   4.4767E-042   4.4735E-042 
  3.277596944E+005   4.1556E-009   1.0032E+001   1.8083E-004   1.7939E-004   1.5915E-009   1.5462E-009   1.1600E-012   1.1341E-012   3.4775E-016   3.3306E-016   8.7171E-017   8.1729E-017   2.4480E-022   2.3540E-022   2.9179E-026   2.6029E-026   5.4199E-031   5.2783E-031   5.8499E-038   4.8982E-038   4.4788E-042   4.4756E-042 
  1.573974732E+006   2.0008E-008   1.3704E+001   1.8213E-004   1.8068E-004   1.6030E-009   1.5573E-009   1.1684E-012   1.1423E-012   3.5026E-016   3.3546E-016   8.7799E-017   8.2318E-017   2.4656E-022   2.3710E-022   2.9389E-026   2.6216E-026   5.4589E-031   5.3163E-031   5.8920E-038   4.9335E-038   4.5111E-042   4.5078E-042 
  2.692993440E+006   3.4389E-008   3.5678E+001   1.8453E-004   1.8306E-004   1.6241E-009   1.5778E-009   1.1837E-012   1.1573E-012   3.5487E-016   3.3987E-016   8.8954E-017   8.3401E-017   2.4981E-022   2.4022E-022   2.9776E-026   2.6561E-026   5.5308E-031   5.3862E-031   5.9696E-038   4.9985E-038   4.5705E-042   4.5672E-042 
  3.685789223E+006   4.7342E-008   9.2133E+001   1.8767E-004   1.8617E-004   1.6517E-009   1.6046E-009   1.2039E-012   1.1770E-012   3.6091E-016   3.4566E-016   9.0468E-017   8.4821E-017   2.5406E-022   2.4431E-022   3.0283E-026   2.7013E-026   5.6249E-031   5.4779E-031   6.0712E-038   5.0835E-038   4.6482E-042   4.6449E-042 
  4.854790880E+006   6.2925E-008   2.3947E+002   1.9266E-004   1.9113E-004   1.6957E-009   1.6473E-009   1.2359E-012   1.2083E-012   3.7051E-016   3.5486E-016   9.2876E-017   8.7078E-017   2.6082E-022   2.5081E-022   3.1089E-026   2.7732E-026   5.7746E-031   5.6237E-031   6.2328E-038   5.2188E-038   4.7720E-042   4.7685E-042 
  6.023792537E+006   7.8978E-008   5.2173E+002   1.9917E-004   1.9758E-004   1.7530E-009   1.7030E-009   1.2777E-012   1.2492E-012   3.8303E-016   3.6685E-016   9.6014E-017   9.0021E-017   2.6963E-022   2.5929E-022   3.2139E-026   2.8669E-026   5.9697E-031   5.8137E-031   6.4434E-038   5.3952E-038   4.9332E-042   4.9296E-042 
  7.192794193E+006   9.5632E-008   9.9259E+002   2.0735E-004   2.0570E-004   1.8250E-009   1.7730E-009   1.3302E-012   1.3005E-012   3.9876E-016   3.8192E-016   9.9958E-017   9.3718E-017   2.8071E-022   2.6994E-022   3.3459E-026   2.9847E-026   6.2149E-031   6.0525E-031   6.7080E-038   5.6168E-038   5.1358E-042   5.1321E-042 
  8.361795850E+006   1.1303E-007   1.7045E+003   2.1742E-004   2.1569E-004   1.9136E-009   1.8591E-009   1.3948E-012   1.3636E-012   4.1814E-016   4.0047E-016   1.0481E-016   9.8271E-017   2.9435E-022   2.8305E-022   3.5085E-026   3.1297E-026   6.5168E-031   6.3466E-031   7.0339E-038   5.8896E-038   5.3853E-042   5.3814E-042 
  9.530797507E+006   1.3134E-007   2.7032E+003   2.2986E-004   2.2803E-004   2.0231E-009   1.9654E-009   1.4746E-012   1.4417E-012   4.4206E-016   4.2338E-016   1.1081E-016   1.0389E-016   3.1119E-022   2.9924E-022   3.7092E-026   3.3087E-026   6.8897E-031   6.7096E-031   7.4363E-038   6.2266E-038   5.6934E-042   5.6893E-042 
  1.069979916E+007   1.5074E-007   4.0228E+003   2.4614E-004   2.4418E-004   2.1664E-009   2.1046E-009   1.5790E-012   1.5437E-012   4.7336E-016   4.5336E-016   1.1866E-016   1.1125E-016   3.3322E-022   3.2043E-022   3.9719E-026   3.5431E-026   7.3776E-031   7.1848E-031   7.9629E-038   6.6675E-038   6.0966E-042   6.0922E-042 
  1.256066231E+007   1.8442E-007   6.8228E+003   2.9508E-004   2.9273E-004   2.5971E-009   2.5231E-009   1.8929E-012   1.8507E-012   5.6747E-016   5.4350E-016   1.4225E-016   1.3337E-016   3.9947E-022   3.8414E-022   4.7615E-026   4.2475E-026   8.8443E-031   8.6132E-031   9.5461E-038   7.9931E-038   7.3087E-042   7.3034E-042 
  1.708620057E+007   2.8704E-007   1.6684E+004   1.8777E-003   1.8628E-003   1.6526E-008   1.6055E-008   1.2046E-011   1.1777E-011   3.6111E-015   3.4585E-015   9.0519E-016   8.4868E-016   2.5420E-021   2.4445E-021   3.0300E-025   2.7029E-025   5.6280E-030   5.4810E-030   6.0746E-037   5.0864E-037   4.6508E-041   4.6475E-041 
  2.431497474E+007   5.5373E-007   3.1842E+004   1.0555E-001   1.0471E-001   9.2902E-007   9.0253E-007   6.7713E-010   6.6201E-010   2.0299E-013   1.9442E-013   5.0884E-014   4.7708E-014   1.4290E-019   1.3741E-019   1.7033E-023   1.5194E-023   3.1637E-028   3.0811E-028   3.4148E-035   2.8592E-035   2.6144E-039   2.6125E-039 
