     distance         timeN            Tn             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40 
  1.000000000E+005   1.2676E-009   1.0000E+001   1.4400E-011   3.5074E-011   3.8531E-011   2.8868E-011   1.6127E-011   6.9531E-012   2.3536E-012   6.3153E-013   1.3515E-013   2.3158E-014   3.1866E-015   3.5283E-016   3.1485E-017   2.2669E-018   1.3183E-019   6.1972E-021   2.3562E-022   7.2500E-024   1.8062E-025   3.6446E-027   5.9590E-029   7.8971E-031   8.4852E-033   7.3937E-035   5.2261E-037   2.9972E-039   1.3949E-041   5.2697E-044   1.6163E-046   4.0253E-049   8.1418E-052   1.3377E-054   1.7857E-057   1.9369E-060   1.7075E-063   1.2235E-066   7.1280E-070   3.3766E-073   1.3008E-076   4.0764E-080   1.0392E-083 
  7.023518923E+005   8.9027E-009   1.0000E+001   1.4400E-011   3.5074E-011   3.8531E-011   2.8868E-011   1.6127E-011   6.9531E-012   2.3536E-012   6.3153E-013   1.3515E-013   2.3158E-014   3.1866E-015   3.5283E-016   3.1485E-017   2.2669E-018   1.3183E-019   6.1972E-021   2.3562E-022   7.2500E-024   1.8062E-025   3.6446E-027   5.9590E-029   7.8971E-031   8.4852E-033   7.3937E-035   5.2261E-037   2.9972E-039   1.3949E-041   5.2697E-044   1.6163E-046   4.0253E-049   8.1418E-052   1.3377E-054   1.7857E-057   1.9369E-060   1.7075E-063   1.2235E-066   7.1280E-070   3.3766E-073   1.3008E-076   4.0764E-080   1.0392E-083 
  5.010482483E+006   6.3510E-008   1.0000E+001   1.4400E-011   3.5074E-011   3.8531E-011   2.8868E-011   1.6127E-011   6.9531E-012   2.3536E-012   6.3153E-013   1.3515E-013   2.3158E-014   3.1866E-015   3.5283E-016   3.1485E-017   2.2669E-018   1.3183E-019   6.1972E-021   2.3562E-022   7.2500E-024   1.8062E-025   3.6446E-027   5.9590E-029   7.8971E-031   8.4852E-033   7.3937E-035   5.2261E-037   2.9972E-039   1.3949E-041   5.2697E-044   1.6163E-046   4.0253E-049   8.1418E-052   1.3377E-054   1.7857E-057   1.9369E-060   1.7075E-063   1.2235E-066   7.1280E-070   3.3766E-073   1.3008E-076   4.0764E-080   1.0392E-083 
  2.258623810E+007   2.8629E-007   1.0000E+001   1.4400E-011   3.5074E-011   3.8531E-011   2.8868E-011   1.6127E-011   6.9531E-012   2.3536E-012   6.3153E-013   1.3515E-013   2.3158E-014   3.1866E-015   3.5283E-016   3.1485E-017   2.2669E-018   1.3183E-019   6.1972E-021   2.3562E-022   7.2500E-024   1.8062E-025   3.6446E-027   5.9590E-029   7.8971E-031   8.4852E-033   7.3937E-035   5.2261E-037   2.9972E-039   1.3949E-041   5.2697E-044   1.6163E-046   4.0253E-049   8.1418E-052   1.3377E-054   1.7857E-057   1.9369E-060   1.7075E-063   1.2235E-066   7.1280E-070   3.3766E-073   1.3008E-076   4.0764E-080   1.0392E-083 
  5.163112052E+007   6.5445E-007   1.0000E+001   1.4400E-011   3.5074E-011   3.8531E-011   2.8868E-011   1.6127E-011   6.9531E-012   2.3536E-012   6.3153E-013   1.3515E-013   2.3158E-014   3.1866E-015   3.5283E-016   3.1485E-017   2.2669E-018   1.3183E-019   6.1972E-021   2.3562E-022   7.2500E-024   1.8062E-025   3.6446E-027   5.9590E-029   7.8971E-031   8.4852E-033   7.3937E-035   5.2261E-037   2.9972E-039   1.3949E-041   5.2697E-044   1.6163E-046   4.0253E-049   8.1418E-052   1.3377E-054   1.7857E-057   1.9369E-060   1.7075E-063   1.2235E-066   7.1280E-070   3.3766E-073   1.3008E-076   4.0764E-080   1.0392E-083 
  8.067600293E+007   1.0226E-006   1.0000E+001   1.4400E-011   3.5074E-011   3.8531E-011   2.8868E-011   1.6127E-011   6.9531E-012   2.3536E-012   6.3153E-013   1.3515E-013   2.3158E-014   3.1866E-015   3.5283E-016   3.1485E-017   2.2669E-018   1.3183E-019   6.1972E-021   2.3562E-022   7.2500E-024   1.8062E-025   3.6446E-027   5.9590E-029   7.8971E-031   8.4852E-033   7.3937E-035   5.2261E-037   2.9972E-039   1.3949E-041   5.2697E-044   1.6163E-046   4.0253E-049   8.1418E-052   1.3377E-054   1.7857E-057   1.9369E-060   1.7075E-063   1.2235E-066   7.1280E-070   3.3766E-073   1.3008E-076   4.0764E-080   1.0392E-083 
  1.097208853E+008   1.3908E-006   1.0000E+001   1.4400E-011   3.5074E-011   3.8531E-011   2.8868E-011   1.6127E-011   6.9531E-012   2.3536E-012   6.3153E-013   1.3515E-013   2.3158E-014   3.1866E-015   3.5283E-016   3.1485E-017   2.2669E-018   1.3183E-019   6.1972E-021   2.3562E-022   7.2500E-024   1.8062E-025   3.6446E-027   5.9590E-029   7.8971E-031   8.4852E-033   7.3937E-035   5.2261E-037   2.9972E-039   1.3949E-041   5.2697E-044   1.6163E-046   4.0253E-049   8.1418E-052   1.3377E-054   1.7857E-057   1.9369E-060   1.7075E-063   1.2235E-066   7.1280E-070   3.3766E-073   1.3008E-076   4.0764E-080   1.0392E-083 
  2.047371493E+008   2.5951E-006   1.0000E+001   1.4400E-011   3.5074E-011   3.8531E-011   2.8868E-011   1.6127E-011   6.9531E-012   2.3536E-012   6.3153E-013   1.3515E-013   2.3158E-014   3.1866E-015   3.5283E-016   3.1485E-017   2.2669E-018   1.3183E-019   6.1972E-021   2.3562E-022   7.2500E-024   1.8062E-025   3.6446E-027   5.9590E-029   7.8971E-031   8.4852E-033   7.3937E-035   5.2261E-037   2.9972E-039   1.3949E-041   5.2697E-044   1.6163E-046   4.0253E-049   8.1418E-052   1.3377E-054   1.7857E-057   1.9369E-060   1.7075E-063   1.2235E-066   7.1280E-070   3.3766E-073   1.3008E-076   4.0764E-080   1.0392E-083 
  1.503523267E+009   1.9058E-005   1.0000E+001   1.4400E-011   3.5074E-011   3.8531E-011   2.8868E-011   1.6127E-011   6.9531E-012   2.3536E-012   6.3153E-013   1.3515E-013   2.3158E-014   3.1866E-015   3.5283E-016   3.1485E-017   2.2669E-018   1.3183E-019   6.1972E-021   2.3562E-022   7.2500E-024   1.8062E-025   3.6446E-027   5.9590E-029   7.8971E-031   8.4852E-033   7.3937E-035   5.2261E-037   2.9972E-039   1.3949E-041   5.2697E-044   1.6163E-046   4.0253E-049   8.1418E-052   1.3377E-054   1.7857E-057   1.9369E-060   1.7075E-063   1.2235E-066   7.1280E-070   3.3766E-073   1.3008E-076   4.0764E-080   1.0392E-083 
  9.786887936E+009   1.2405E-004   1.0000E+001   1.4400E-011   3.5074E-011   3.8531E-011   2.8868E-011   1.6127E-011   6.9531E-012   2.3536E-012   6.3153E-013   1.3515E-013   2.3158E-014   3.1866E-015   3.5283E-016   3.1485E-017   2.2669E-018   1.3183E-019   6.1972E-021   2.3562E-022   7.2500E-024   1.8062E-025   3.6446E-027   5.9590E-029   7.8971E-031   8.4852E-033   7.3937E-035   5.2261E-037   2.9972E-039   1.3949E-041   5.2697E-044   1.6163E-046   4.0253E-049   8.1418E-052   1.3377E-054   1.7857E-057   1.9369E-060   1.7075E-063   1.2235E-066   7.1280E-070   3.3766E-073   1.3008E-076   4.0764E-080   1.0392E-083 
