     distance         timeN            Tn             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40 
  1.000000000E+005   1.2676E-009   1.0000E+001   0.0000E+000   1.1638E-018   3.2951E-018   4.1786E-018   3.3475E-018   1.8907E-018   7.9226E-019   2.5338E-019   6.2880E-020   1.2249E-020   1.8870E-021   2.3110E-022   2.2598E-023   1.7685E-024   1.1113E-025   5.6105E-027   2.2797E-028   7.4659E-030   1.9719E-031   4.2065E-033   7.2481E-035   1.0096E-036   1.1376E-038   1.0370E-040   7.6547E-043   4.5758E-045   2.2166E-047   8.7006E-050   2.7687E-052   7.1442E-055   1.4955E-057   2.5396E-060   3.5005E-063   3.9175E-066   3.5588E-069   2.6256E-072   1.5737E-075   7.6636E-079   3.0324E-082   9.7528E-086   2.5503E-089 
  7.023518923E+005   8.9027E-009   1.0000E+001   0.0000E+000   1.5184E-017   4.2991E-017   5.4519E-017   4.3675E-017   2.4668E-017   1.0337E-017   3.3058E-018   8.2040E-019   1.5981E-019   2.4620E-020   3.0151E-021   2.9484E-022   2.3074E-023   1.4499E-024   7.3201E-026   2.9743E-027   9.7408E-029   2.5728E-030   5.4882E-032   9.4566E-034   1.3172E-035   1.4842E-037   1.3530E-039   9.9871E-042   5.9701E-044   2.8920E-046   1.1352E-048   3.6123E-051   9.3210E-054   1.9512E-056   3.3135E-059   4.5672E-062   5.1112E-065   4.6432E-068   3.4256E-071   2.0532E-074   9.9988E-078   3.9563E-081   1.2724E-084   3.3274E-088 
  5.010482483E+006   6.3510E-008   1.0000E+001   0.0000E+000   1.1546E-016   3.2690E-016   4.1456E-016   3.3211E-016   1.8758E-016   7.8600E-017   2.5137E-017   6.2383E-018   1.2152E-018   1.8721E-019   2.2927E-020   2.2420E-021   1.7545E-022   1.1025E-023   5.5662E-025   2.2617E-026   7.4069E-028   1.9564E-029   4.1733E-031   7.1908E-033   1.0016E-034   1.1286E-036   1.0288E-038   7.5942E-041   4.5397E-043   2.1991E-045   8.6318E-048   2.7468E-050   7.0877E-053   1.4837E-055   2.5196E-058   3.4729E-061   3.8866E-064   3.5307E-067   2.6048E-070   1.5613E-073   7.6031E-077   3.0084E-080   9.6757E-084   2.5301E-087 
  2.258623810E+007   2.8629E-007   1.0000E+001   0.0000E+000   5.2456E-016   1.4852E-015   1.8834E-015   1.5088E-015   8.5218E-016   3.5709E-016   1.1420E-016   2.8342E-017   5.5209E-018   8.5052E-019   1.0416E-019   1.0186E-020   7.9712E-022   5.0089E-023   2.5288E-024   1.0275E-025   3.3651E-027   8.8880E-029   1.8960E-030   3.2669E-032   4.5504E-034   5.1273E-036   4.6740E-038   3.4502E-040   2.0624E-042   9.9906E-045   3.9216E-047   1.2479E-049   3.2201E-052   6.7405E-055   1.1447E-057   1.5778E-060   1.7657E-063   1.6041E-066   1.1834E-069   7.0931E-073   3.4542E-076   1.3668E-079   4.3958E-083   1.1495E-086 
  5.163112052E+007   6.5445E-007   1.0000E+001   0.0000E+000   1.2006E-015   3.3993E-015   4.3108E-015   3.4534E-015   1.9505E-015   8.1731E-016   2.6139E-016   6.4869E-017   1.2636E-017   1.9467E-018   2.3840E-019   2.3313E-020   1.8244E-021   1.1464E-022   5.7879E-024   2.3518E-025   7.7020E-027   2.0343E-028   4.3395E-030   7.4773E-032   1.0415E-033   1.1735E-035   1.0698E-037   7.8968E-040   4.7205E-042   2.2867E-044   8.9757E-047   2.8562E-049   7.3701E-052   1.5428E-054   2.6199E-057   3.6112E-060   4.0414E-063   3.6714E-066   2.7086E-069   1.6235E-072   7.9060E-076   3.1283E-079   1.0061E-082   2.6309E-086 
  8.067600293E+007   1.0226E-006   1.0000E+001   0.0000E+000   1.8767E-015   5.3134E-015   6.7381E-015   5.3979E-015   3.0488E-015   1.2775E-015   4.0857E-016   1.0140E-016   1.9752E-017   3.0428E-018   3.7265E-019   3.6440E-020   2.8518E-021   1.7920E-022   9.0470E-024   3.6760E-025   1.2039E-026   3.1798E-028   6.7830E-030   1.1688E-031   1.6279E-033   1.8343E-035   1.6722E-037   1.2343E-039   7.3786E-042   3.5743E-044   1.4030E-046   4.4646E-049   1.1520E-051   2.4115E-054   4.0952E-057   5.6447E-060   6.3171E-063   5.7387E-066   4.2338E-069   2.5376E-072   1.2358E-075   4.8897E-079   1.5726E-082   4.1124E-086 
  1.097208853E+008   1.3908E-006   1.0000E+001   0.0000E+000   2.5527E-015   7.2274E-015   9.1654E-015   7.3425E-015   4.1471E-015   1.7377E-015   5.5576E-016   1.3792E-016   2.6867E-017   4.1390E-018   5.0689E-019   4.9567E-020   3.8791E-021   2.4375E-022   1.2306E-023   5.0003E-025   1.6376E-026   4.3253E-028   9.2266E-030   1.5898E-031   2.2144E-033   2.4951E-035   2.2746E-037   1.6790E-039   1.0037E-041   4.8618E-044   1.9084E-046   6.0729E-049   1.5670E-051   3.2802E-054   5.5704E-057   7.6781E-060   8.5928E-063   7.8060E-066   5.7589E-069   3.4518E-072   1.6809E-075   6.6512E-079   2.1392E-082   5.5938E-086 
  2.047371493E+008   2.5951E-006   1.0000E+001   0.0000E+000   4.7643E-015   1.3489E-014   1.7106E-014   1.3704E-014   7.7400E-015   3.2433E-015   1.0373E-015   2.5741E-016   5.0144E-017   7.7248E-018   9.4604E-019   9.2510E-020   7.2398E-021   4.5493E-022   2.2968E-023   9.3323E-025   3.0563E-026   8.0726E-028   1.7220E-029   2.9671E-031   4.1329E-033   4.6569E-035   4.2452E-037   3.1336E-039   1.8732E-041   9.0740E-044   3.5618E-046   1.1334E-048   2.9246E-051   6.1221E-054   1.0396E-056   1.4330E-059   1.6037E-062   1.4569E-065   1.0748E-068   6.4423E-072   3.1373E-075   1.2414E-078   3.9925E-082   1.0440E-085 
  1.503523267E+009   1.9058E-005   1.0000E+001   0.0000E+000   3.4993E-014   9.9075E-014   1.2564E-013   1.0065E-013   5.6849E-014   2.3821E-014   7.6184E-015   1.8907E-015   3.6830E-016   5.6737E-017   6.9485E-018   6.7947E-019   5.3175E-020   3.3414E-021   1.6869E-022   6.8544E-024   2.2448E-025   5.9291E-027   1.2648E-028   2.1793E-030   3.0355E-032   3.4204E-034   3.1180E-036   2.3016E-038   1.3758E-040   6.6647E-043   2.6160E-045   8.3248E-048   2.1481E-050   4.4965E-053   7.6360E-056   1.0525E-058   1.1779E-061   1.0701E-064   7.8944E-068   4.7318E-071   2.3043E-074   9.1176E-078   2.9324E-081   7.6681E-085 
  9.786887936E+009   1.2405E-004   1.0000E+001   0.0000E+000   2.2770E-013   6.4469E-013   8.1756E-013   6.5495E-013   3.6992E-013   1.5501E-013   4.9574E-014   1.2303E-014   2.3965E-015   3.6919E-016   4.5215E-017   4.4214E-018   3.4602E-019   2.1743E-020   1.0977E-021   4.4602E-023   1.4607E-024   3.8581E-026   8.2301E-028   1.4181E-029   1.9752E-031   2.2257E-033   2.0289E-035   1.4977E-037   8.9527E-040   4.3368E-042   1.7023E-044   5.4170E-047   1.3978E-049   2.9259E-052   4.9688E-055   6.8489E-058   7.6647E-061   6.9630E-064   5.1370E-067   3.0790E-070   1.4994E-073   5.9329E-077   1.9081E-080   4.9897E-084 
