     distance         timeN            Tn             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40 
  1.000000000E+005   1.2676E-009   1.0000E+001   0.0000E+000   5.0922E-010   1.4417E-009   1.8283E-009   1.4647E-009   8.2726E-010   3.4664E-010   1.1086E-010   2.7513E-011   5.3594E-012   8.2564E-013   1.0111E-013   9.8876E-015   7.7380E-016   4.8624E-017   2.4548E-018   9.9745E-020   3.2667E-021   8.6281E-023   1.8405E-024   3.1713E-026   4.4173E-028   4.9773E-030   4.5373E-032   3.3493E-034   2.0021E-036   9.6984E-039   3.8069E-041   1.2114E-043   3.1259E-046   6.5434E-049   1.1112E-051   1.5316E-054   1.7141E-057   1.5571E-060   1.1488E-063   6.8856E-067   3.3532E-070   1.3268E-073   4.2672E-077   1.1159E-080 
  7.023518923E+005   8.9027E-009   1.0000E+001   0.0000E+000   5.0922E-010   1.4417E-009   1.8283E-009   1.4647E-009   8.2726E-010   3.4664E-010   1.1086E-010   2.7513E-011   5.3594E-012   8.2564E-013   1.0111E-013   9.8876E-015   7.7380E-016   4.8624E-017   2.4548E-018   9.9745E-020   3.2667E-021   8.6281E-023   1.8405E-024   3.1713E-026   4.4173E-028   4.9773E-030   4.5373E-032   3.3493E-034   2.0021E-036   9.6984E-039   3.8069E-041   1.2114E-043   3.1259E-046   6.5434E-049   1.1112E-051   1.5316E-054   1.7141E-057   1.5571E-060   1.1488E-063   6.8856E-067   3.3532E-070   1.3268E-073   4.2672E-077   1.1159E-080 
  5.010482483E+006   6.3510E-008   1.0000E+001   0.0000E+000   5.0922E-010   1.4417E-009   1.8283E-009   1.4647E-009   8.2726E-010   3.4664E-010   1.1086E-010   2.7513E-011   5.3594E-012   8.2564E-013   1.0111E-013   9.8876E-015   7.7380E-016   4.8624E-017   2.4548E-018   9.9745E-020   3.2667E-021   8.6281E-023   1.8405E-024   3.1713E-026   4.4173E-028   4.9773E-030   4.5373E-032   3.3493E-034   2.0021E-036   9.6984E-039   3.8069E-041   1.2114E-043   3.1259E-046   6.5434E-049   1.1112E-051   1.5316E-054   1.7141E-057   1.5571E-060   1.1488E-063   6.8856E-067   3.3532E-070   1.3268E-073   4.2672E-077   1.1159E-080 
  2.258623810E+007   2.8629E-007   1.0000E+001   0.0000E+000   5.0922E-010   1.4417E-009   1.8283E-009   1.4647E-009   8.2726E-010   3.4664E-010   1.1086E-010   2.7513E-011   5.3594E-012   8.2564E-013   1.0111E-013   9.8876E-015   7.7380E-016   4.8624E-017   2.4548E-018   9.9745E-020   3.2667E-021   8.6281E-023   1.8405E-024   3.1713E-026   4.4173E-028   4.9773E-030   4.5373E-032   3.3493E-034   2.0021E-036   9.6984E-039   3.8069E-041   1.2114E-043   3.1259E-046   6.5434E-049   1.1112E-051   1.5316E-054   1.7141E-057   1.5571E-060   1.1488E-063   6.8856E-067   3.3532E-070   1.3268E-073   4.2672E-077   1.1159E-080 
  5.163112052E+007   6.5445E-007   1.0000E+001   0.0000E+000   5.0922E-010   1.4417E-009   1.8283E-009   1.4647E-009   8.2726E-010   3.4664E-010   1.1086E-010   2.7513E-011   5.3594E-012   8.2564E-013   1.0111E-013   9.8876E-015   7.7380E-016   4.8624E-017   2.4548E-018   9.9745E-020   3.2667E-021   8.6281E-023   1.8405E-024   3.1713E-026   4.4173E-028   4.9773E-030   4.5373E-032   3.3493E-034   2.0021E-036   9.6984E-039   3.8069E-041   1.2114E-043   3.1259E-046   6.5434E-049   1.1112E-051   1.5316E-054   1.7141E-057   1.5571E-060   1.1488E-063   6.8856E-067   3.3532E-070   1.3268E-073   4.2672E-077   1.1159E-080 
  8.067600293E+007   1.0226E-006   1.0000E+001   0.0000E+000   5.0922E-010   1.4417E-009   1.8283E-009   1.4647E-009   8.2726E-010   3.4664E-010   1.1086E-010   2.7513E-011   5.3594E-012   8.2564E-013   1.0111E-013   9.8876E-015   7.7380E-016   4.8624E-017   2.4548E-018   9.9745E-020   3.2667E-021   8.6281E-023   1.8405E-024   3.1713E-026   4.4173E-028   4.9773E-030   4.5373E-032   3.3493E-034   2.0021E-036   9.6984E-039   3.8069E-041   1.2114E-043   3.1259E-046   6.5434E-049   1.1112E-051   1.5316E-054   1.7141E-057   1.5571E-060   1.1488E-063   6.8856E-067   3.3532E-070   1.3268E-073   4.2672E-077   1.1159E-080 
  1.097208853E+008   1.3908E-006   1.0000E+001   0.0000E+000   5.0922E-010   1.4417E-009   1.8283E-009   1.4647E-009   8.2726E-010   3.4664E-010   1.1086E-010   2.7513E-011   5.3594E-012   8.2564E-013   1.0111E-013   9.8876E-015   7.7380E-016   4.8624E-017   2.4548E-018   9.9745E-020   3.2667E-021   8.6281E-023   1.8405E-024   3.1713E-026   4.4173E-028   4.9773E-030   4.5373E-032   3.3493E-034   2.0021E-036   9.6984E-039   3.8069E-041   1.2114E-043   3.1259E-046   6.5434E-049   1.1112E-051   1.5316E-054   1.7141E-057   1.5571E-060   1.1488E-063   6.8856E-067   3.3532E-070   1.3268E-073   4.2672E-077   1.1159E-080 
  2.047371493E+008   2.5951E-006   1.0000E+001   0.0000E+000   5.0922E-010   1.4417E-009   1.8283E-009   1.4647E-009   8.2726E-010   3.4664E-010   1.1086E-010   2.7513E-011   5.3594E-012   8.2564E-013   1.0111E-013   9.8876E-015   7.7380E-016   4.8624E-017   2.4548E-018   9.9745E-020   3.2667E-021   8.6281E-023   1.8405E-024   3.1713E-026   4.4173E-028   4.9773E-030   4.5373E-032   3.3493E-034   2.0021E-036   9.6984E-039   3.8069E-041   1.2114E-043   3.1259E-046   6.5434E-049   1.1112E-051   1.5316E-054   1.7141E-057   1.5571E-060   1.1488E-063   6.8856E-067   3.3532E-070   1.3268E-073   4.2672E-077   1.1159E-080 
  1.503523267E+009   1.9058E-005   1.0000E+001   0.0000E+000   5.0922E-010   1.4417E-009   1.8283E-009   1.4647E-009   8.2726E-010   3.4664E-010   1.1086E-010   2.7513E-011   5.3594E-012   8.2564E-013   1.0111E-013   9.8876E-015   7.7380E-016   4.8624E-017   2.4548E-018   9.9745E-020   3.2667E-021   8.6281E-023   1.8405E-024   3.1713E-026   4.4173E-028   4.9773E-030   4.5373E-032   3.3493E-034   2.0021E-036   9.6984E-039   3.8069E-041   1.2114E-043   3.1259E-046   6.5434E-049   1.1112E-051   1.5316E-054   1.7141E-057   1.5571E-060   1.1488E-063   6.8856E-067   3.3532E-070   1.3268E-073   4.2672E-077   1.1159E-080 
  9.786887936E+009   1.2405E-004   1.0000E+001   0.0000E+000   5.0922E-010   1.4417E-009   1.8283E-009   1.4647E-009   8.2726E-010   3.4664E-010   1.1086E-010   2.7513E-011   5.3594E-012   8.2564E-013   1.0111E-013   9.8876E-015   7.7380E-016   4.8624E-017   2.4548E-018   9.9745E-020   3.2667E-021   8.6281E-023   1.8405E-024   3.1713E-026   4.4173E-028   4.9773E-030   4.5373E-032   3.3493E-034   2.0021E-036   9.6984E-039   3.8069E-041   1.2114E-043   3.1259E-046   6.5434E-049   1.1112E-051   1.5316E-054   1.7141E-057   1.5571E-060   1.1488E-063   6.8856E-067   3.3532E-070   1.3268E-073   4.2672E-077   1.1159E-080 
