     distance         timeN            Tn             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40 
  1.000000000E+005   1.2676E-009   1.0000E+001   7.0973E-011   2.0884E-010   2.8157E-010   2.4445E-010   1.5194E-010   7.0905E-011   2.5486E-011   7.1592E-012   1.5874E-012   2.7963E-013   3.9311E-014   4.4276E-015   4.0034E-016   2.9129E-017   1.7083E-018   8.0817E-020   3.0884E-021   9.5385E-023   2.3839E-024   4.8214E-026   7.8962E-028   1.0479E-029   1.1268E-031   9.8252E-034   6.9475E-036   3.9860E-038   1.8554E-040   7.0092E-043   2.1494E-045   5.3524E-048   1.0823E-050   1.7779E-053   2.3731E-056   2.5732E-059   2.2677E-062   1.6246E-065   9.4626E-069   4.4809E-072   1.7256E-075   5.4060E-079 
  7.023518923E+005   8.9027E-009   1.0000E+001   7.0973E-011   2.0884E-010   2.8157E-010   2.4445E-010   1.5194E-010   7.0905E-011   2.5486E-011   7.1592E-012   1.5874E-012   2.7963E-013   3.9311E-014   4.4276E-015   4.0034E-016   2.9129E-017   1.7083E-018   8.0817E-020   3.0884E-021   9.5385E-023   2.3839E-024   4.8214E-026   7.8962E-028   1.0479E-029   1.1268E-031   9.8252E-034   6.9475E-036   3.9860E-038   1.8554E-040   7.0092E-043   2.1494E-045   5.3524E-048   1.0823E-050   1.7779E-053   2.3731E-056   2.5732E-059   2.2677E-062   1.6246E-065   9.4626E-069   4.4809E-072   1.7256E-075   5.4060E-079 
  5.010482483E+006   6.3510E-008   1.0000E+001   7.0973E-011   2.0884E-010   2.8157E-010   2.4445E-010   1.5194E-010   7.0905E-011   2.5486E-011   7.1592E-012   1.5874E-012   2.7963E-013   3.9311E-014   4.4276E-015   4.0034E-016   2.9129E-017   1.7083E-018   8.0817E-020   3.0884E-021   9.5385E-023   2.3839E-024   4.8214E-026   7.8962E-028   1.0479E-029   1.1268E-031   9.8252E-034   6.9475E-036   3.9860E-038   1.8554E-040   7.0092E-043   2.1494E-045   5.3524E-048   1.0823E-050   1.7779E-053   2.3731E-056   2.5732E-059   2.2677E-062   1.6246E-065   9.4626E-069   4.4809E-072   1.7256E-075   5.4060E-079 
  2.258623810E+007   2.8629E-007   1.0000E+001   7.0973E-011   2.0884E-010   2.8157E-010   2.4445E-010   1.5194E-010   7.0905E-011   2.5486E-011   7.1592E-012   1.5874E-012   2.7963E-013   3.9311E-014   4.4276E-015   4.0034E-016   2.9129E-017   1.7083E-018   8.0817E-020   3.0884E-021   9.5385E-023   2.3839E-024   4.8214E-026   7.8962E-028   1.0479E-029   1.1268E-031   9.8252E-034   6.9475E-036   3.9860E-038   1.8554E-040   7.0092E-043   2.1494E-045   5.3524E-048   1.0823E-050   1.7779E-053   2.3731E-056   2.5732E-059   2.2677E-062   1.6246E-065   9.4626E-069   4.4809E-072   1.7256E-075   5.4060E-079 
  5.163112052E+007   6.5445E-007   1.0000E+001   7.0973E-011   2.0884E-010   2.8157E-010   2.4445E-010   1.5194E-010   7.0905E-011   2.5486E-011   7.1592E-012   1.5874E-012   2.7963E-013   3.9311E-014   4.4276E-015   4.0034E-016   2.9129E-017   1.7083E-018   8.0817E-020   3.0884E-021   9.5385E-023   2.3839E-024   4.8214E-026   7.8962E-028   1.0479E-029   1.1268E-031   9.8252E-034   6.9475E-036   3.9860E-038   1.8554E-040   7.0092E-043   2.1494E-045   5.3524E-048   1.0823E-050   1.7779E-053   2.3731E-056   2.5732E-059   2.2677E-062   1.6246E-065   9.4626E-069   4.4809E-072   1.7256E-075   5.4060E-079 
  8.067600293E+007   1.0226E-006   1.0000E+001   7.0973E-011   2.0884E-010   2.8157E-010   2.4445E-010   1.5194E-010   7.0905E-011   2.5486E-011   7.1592E-012   1.5874E-012   2.7963E-013   3.9311E-014   4.4276E-015   4.0034E-016   2.9129E-017   1.7083E-018   8.0817E-020   3.0884E-021   9.5385E-023   2.3839E-024   4.8214E-026   7.8962E-028   1.0479E-029   1.1268E-031   9.8252E-034   6.9475E-036   3.9860E-038   1.8554E-040   7.0092E-043   2.1494E-045   5.3524E-048   1.0823E-050   1.7779E-053   2.3731E-056   2.5732E-059   2.2677E-062   1.6246E-065   9.4626E-069   4.4809E-072   1.7256E-075   5.4060E-079 
  1.097208853E+008   1.3908E-006   1.0000E+001   7.0973E-011   2.0884E-010   2.8157E-010   2.4445E-010   1.5194E-010   7.0905E-011   2.5486E-011   7.1592E-012   1.5874E-012   2.7963E-013   3.9311E-014   4.4276E-015   4.0034E-016   2.9129E-017   1.7083E-018   8.0817E-020   3.0884E-021   9.5385E-023   2.3839E-024   4.8214E-026   7.8962E-028   1.0479E-029   1.1268E-031   9.8252E-034   6.9475E-036   3.9860E-038   1.8554E-040   7.0092E-043   2.1494E-045   5.3524E-048   1.0823E-050   1.7779E-053   2.3731E-056   2.5732E-059   2.2677E-062   1.6246E-065   9.4626E-069   4.4809E-072   1.7256E-075   5.4060E-079 
  2.047371493E+008   2.5951E-006   1.0000E+001   7.0973E-011   2.0884E-010   2.8157E-010   2.4445E-010   1.5194E-010   7.0905E-011   2.5486E-011   7.1592E-012   1.5874E-012   2.7963E-013   3.9311E-014   4.4276E-015   4.0034E-016   2.9129E-017   1.7083E-018   8.0817E-020   3.0884E-021   9.5385E-023   2.3839E-024   4.8214E-026   7.8962E-028   1.0479E-029   1.1268E-031   9.8252E-034   6.9475E-036   3.9860E-038   1.8554E-040   7.0092E-043   2.1494E-045   5.3524E-048   1.0823E-050   1.7779E-053   2.3731E-056   2.5732E-059   2.2677E-062   1.6246E-065   9.4626E-069   4.4809E-072   1.7256E-075   5.4060E-079 
  1.503523267E+009   1.9058E-005   1.0000E+001   7.0973E-011   2.0884E-010   2.8157E-010   2.4445E-010   1.5194E-010   7.0905E-011   2.5486E-011   7.1592E-012   1.5874E-012   2.7963E-013   3.9311E-014   4.4276E-015   4.0034E-016   2.9129E-017   1.7083E-018   8.0817E-020   3.0884E-021   9.5385E-023   2.3839E-024   4.8214E-026   7.8962E-028   1.0479E-029   1.1268E-031   9.8252E-034   6.9475E-036   3.9860E-038   1.8554E-040   7.0092E-043   2.1494E-045   5.3524E-048   1.0823E-050   1.7779E-053   2.3731E-056   2.5732E-059   2.2677E-062   1.6246E-065   9.4626E-069   4.4809E-072   1.7256E-075   5.4060E-079 
  9.786887936E+009   1.2405E-004   1.0000E+001   7.0973E-011   2.0884E-010   2.8157E-010   2.4445E-010   1.5194E-010   7.0905E-011   2.5486E-011   7.1592E-012   1.5874E-012   2.7963E-013   3.9311E-014   4.4276E-015   4.0034E-016   2.9129E-017   1.7083E-018   8.0817E-020   3.0884E-021   9.5385E-023   2.3839E-024   4.8214E-026   7.8962E-028   1.0479E-029   1.1268E-031   9.8252E-034   6.9475E-036   3.9860E-038   1.8554E-040   7.0092E-043   2.1494E-045   5.3524E-048   1.0823E-050   1.7779E-053   2.3731E-056   2.5732E-059   2.2677E-062   1.6246E-065   9.4626E-069   4.4809E-072   1.7256E-075   5.4060E-079 
