     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)         W(CO)         G(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)       W(oH2O)       G(oH2O)       W(pH2O)       G(pH2O)       W(oNH3)       G(oNH3)       W(pNH3)       G(pNH3)         W(OH)         G(OH)      W(atype)      G(atype)      W(etype)      G(etype)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+)       E(H+H2) 
  1.000000000E+005   1.2676E-009   1.0003E+001   6.3200E-031   1.9638E-022   7.8577E-030   2.8780E-028   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.4641E-024  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.6813E-028   1.3140E-049   6.9031E-025   8.4769E-036   8.3825E-030   0.0000E+000   9.7358E-034   5.7434E-047   0.0000E+000 
  3.277596944E+005   4.1556E-009   1.0032E+001   1.6021E-030   1.9742E-022   8.1654E-030   2.9225E-028   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   2.4986E-024  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.7270E-028   1.4816E-049   6.9547E-025   8.7594E-036   8.9684E-030   0.0000E+000   9.9328E-034   6.7441E-047   0.0000E+000 
  1.573974732E+006   2.0008E-008   1.3704E+001   7.2288E-030   3.1268E-022   2.7906E-028   1.1789E-027   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   8.8187E-024  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.9873E-027   9.3516E-045   1.3875E-024   1.7182E-034   4.4370E-027   0.0000E+000   5.8162E-033   1.8240E-040   0.0000E+000 
  2.692993440E+006   3.4389E-008   3.5678E+001   1.4267E-029   1.0461E-021   1.6394E-025   1.9014E-026   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.1361E-022  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.0690E-025   1.1170E-036   5.0376E-024   2.5252E-032   1.8152E-022   2.2966E-284   1.0259E-031   1.2134E-029   0.0000E+000 
  3.685789223E+006   4.7342E-008   9.2133E+001   2.5782E-029   3.0447E-021   3.4389E-024   1.0095E-025   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   5.5353E-022  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   3.5482E-025   1.3921E-033   7.7167E-024   2.5086E-031   1.4358E-020   4.3095E-125   3.4178E-031   1.7269E-025   0.0000E+000 
  4.854790880E+006   6.2925E-008   2.3947E+002   1.2731E-027   8.6239E-021   2.0994E-023   3.6120E-025   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.9156E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   5.0072E-025   2.2360E-032   9.0202E-024   9.6177E-031   9.7842E-020   2.7004E-063   5.5688E-031   9.4195E-024   5.1955E-177 
  6.023792537E+006   7.8978E-008   5.2173E+002   3.8684E-026   2.0308E-020   6.4105E-023   9.2055E-025   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   4.8273E-021  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   5.6495E-025   5.7333E-032   9.7074E-024   1.5679E-030   2.1179E-019   1.6977E-042   6.0250E-031   5.1743E-023   1.4894E-100 
  7.192794193E+006   9.5632E-008   9.9259E+002   3.9615E-025   4.2065E-020   1.4742E-022   1.9684E-024   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.0275E-020  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   6.0790E-025   8.6281E-032   1.0268E-023   1.9869E-030   3.2005E-019   3.3829E-034   5.8308E-031   1.1825E-022   2.4502E-069 
  8.361795850E+006   1.1303E-007   1.7045E+003   2.6896E-024   7.9570E-020   2.9272E-022   3.7788E-024   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.9684E-020  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   6.4729E-025   1.0898E-031   1.0846E-023   2.3257E-030   4.2404E-019   2.1151E-030   5.5607E-031   1.8526E-022   2.2257E-048 
  9.530797507E+006   1.3134E-007   2.7032E+003   1.5939E-023   1.4085E-019   5.3190E-022   6.7401E-024   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   3.5072E-020  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   6.8937E-025   1.2918E-031   1.1499E-023   2.6449E-030   5.3059E-019   1.8036E-028   5.5293E-031   2.4687E-022   2.6960E-037 
  1.069979916E+007   1.5074E-007   4.0228E+003   9.1713E-023   2.3721E-019   9.1463E-022   1.1399E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   5.9279E-020  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   7.3713E-025   1.4967E-031   1.2258E-023   2.9760E-030   6.4498E-019   2.1457E-027   7.3597E-031   3.0657E-022   4.9350E-031 
  1.256066231E+007   1.8442E-007   6.8228E+003   1.1306E-021   5.0404E-019   2.1066E-021   2.4308E-023   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   1.2635E-019  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   8.2968E-025   1.8742E-031   1.3753E-023   3.5725E-030   8.5241E-019   1.8153E-026   2.4437E-030   4.0996E-022   1.1384E-025 
  1.708620057E+007   2.8704E-007   1.6684E+004   6.3823E-020   2.4386E-018   4.6580E-020   1.1799E-022   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   6.1288E-019  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   1.1773E-024   3.3723E-031   1.9457E-023   5.6642E-030   1.5495E-018   1.5768E-025   1.7884E-029   8.1015E-022   9.0639E-021 
  2.431497474E+007   5.5373E-007   3.1842E+004   2.0186E-018   1.4329E-017   8.7990E-018   6.9785E-022   0.0000E+000   0.0000E+000   0.0000E+000  -0.0000E+000   6.6144E-021   0.0000E+000   0.0000E+000   0.0000E+000   3.6438E-018  -0.0000E+000   1.9058E-020   1.1020E-039   1.0822E-020   1.0762E-042   2.4413E-024   1.0762E-042   1.2181E-024  -2.8699E-042   7.2238E-024  -1.0196E-056   2.4048E-039  -0.0000E+000   1.8208E-039   2.0822E-024   8.0341E-031   3.4372E-023   1.0945E-029   3.0348E-018   6.4902E-025   7.7169E-029   2.2021E-021   1.2839E-018 
