     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_cons 
  1.000000000E+005   1.2676E-009   1.0003E+001   5.9135E-013   0.0000E+000   1.4782E-006   8.2968E-011   3.9799E-011   3.3257E-010   1.4787E-006   0.0000E+000   1.8475E+000   5.1848E-004   2.2069E-003   1.9897E-004   8.3133E-004   1.8513E+000   4.6776E-018 
  3.277596944E+005   4.1556E-009   1.0032E+001   5.9135E-013   1.8783E-015   1.4775E-006   8.3247E-011   3.9836E-011   1.0288E-009   1.4787E-006   4.2472E-009   1.8458E+000   5.1998E-004   2.2069E-003   1.9906E-004   2.5704E-003   1.8513E+000   8.4751E-009 
  1.573974732E+006   2.0008E-008   1.3704E+001   5.9135E-013  -1.7075E-016   1.4669E-006   1.1454E-010   4.0412E-011   1.1562E-008   1.4787E-006  -1.8438E-006   1.8195E+000   7.1032E-004   2.2069E-003   2.0050E-004   2.8681E-002   1.8513E+000  -3.6646E-006 
  2.692993440E+006   3.4389E-008   3.5678E+001   5.9135E-013  -1.0416E-014   1.4479E-006   3.0212E-010   4.1483E-011   3.0430E-008   1.4787E-006  -1.5359E-006   1.7725E+000   1.8493E-003   2.2069E-003   2.0313E-004   7.4506E-002   1.8513E+000  -3.0629E-006 
  3.685789223E+006   4.7342E-008   9.2133E+001   5.9135E-013  -1.2806E-014   1.4236E-006   7.9344E-010   4.2907E-011   5.4169E-008   1.4787E-006  -1.5815E-006   1.7137E+000   4.7754E-003   2.2069E-003   2.0659E-004   1.3041E-001   1.8513E+000  -3.1493E-006 
  4.854790880E+006   6.2925E-008   2.3947E+002   5.9135E-013  -1.0928E-014   1.3867E-006   2.1172E-009   4.5221E-011   8.9751E-008   1.4787E-006  -1.5938E-006   1.6260E+000   1.2412E-002   2.2069E-003   2.1209E-004   2.1047E-001   1.8513E+000  -3.1699E-006 
  6.023792537E+006   7.8978E-008   5.2173E+002   5.9135E-013  -3.3297E-014   1.3414E-006   4.7685E-009   4.8329E-011   1.3242E-007   1.4787E-006  -1.5998E-006   1.5214E+000   2.7042E-002   2.2069E-003   2.1926E-004   3.0038E-001   1.8513E+000  -3.1802E-006 
  7.192794193E+006   9.5632E-008   9.9259E+002   5.9135E-013  -2.5613E-014   1.2885E-006   9.4447E-009   5.2380E-011   1.8066E-007   1.4787E-006  -1.6031E-006   1.4038E+000   5.1448E-002   2.2069E-003   2.2826E-004   3.9363E-001   1.8513E+000  -3.1863E-006 
  8.361795850E+006   1.1303E-007   1.7045E+003   5.9135E-013  -1.4514E-014   1.2290E-006   1.7004E-008   5.7578E-011   2.3263E-007   1.4787E-006  -1.6051E-006   1.2770E+000   8.8345E-002   2.2069E-003   2.3932E-004   4.8346E-001   1.8513E+000  -3.1901E-006 
  9.530797507E+006   1.3134E-007   2.7032E+003   5.9135E-013  -3.4150E-016   1.1639E-006   2.8476E-008   6.4198E-011   2.8625E-007   1.4787E-006  -1.6065E-006   1.1453E+000   1.4011E-001   2.2070E-003   2.5270E-004   5.6337E-001   1.8513E+000  -3.1927E-006 
  1.069979916E+007   1.5074E-007   4.0228E+003   5.9135E-013  -3.0735E-015   1.0944E-006   4.5066E-008   7.2605E-011   3.3910E-007   1.4787E-006  -1.6075E-006   1.0127E+000   2.0851E-001   2.2070E-003   2.6874E-004   6.2757E-001   1.8513E+000  -3.1945E-006 
  1.256066231E+007   1.8442E-007   6.8228E+003   5.9135E-013  -3.0735E-015   9.7801E-007   8.5530E-008   9.0917E-011   4.1502E-007   1.4787E-006  -1.5650E-006   8.0875E-001   3.5364E-001   2.2072E-003   3.0073E-004   6.8638E-001   1.8513E+000  -3.1277E-006 
