    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.197398E+001 
    0     1   1.705020E+002   4.980721E+001 
    0     2   5.098500E+002   4.067484E+001 
    0     3   1.015153E+003   3.933538E+001 
    0     4   1.681678E+003   3.811410E+001 
    0     5   2.503870E+003   3.699141E+001 
    0     6   3.474434E+003   3.593465E+001 
    0     7   4.586377E+003   3.497295E+001 
    0     8   5.829758E+003   3.410318E+001 
    1     0   5.987124E+003   3.326088E+001 
    1     1   6.149208E+003   3.314257E+001 
    1     2   6.471607E+003   3.304654E+001 
    1     3   6.951587E+003   3.281853E+001 
    0     9   7.196995E+003   3.337075E+001 
    1     4   7.584601E+003   3.261462E+001 
    1     5   8.365297E+003   3.232834E+001 
    0    10   8.677322E+003   3.270733E+001 
    1     6   9.286624E+003   3.206370E+001 
    0    11   1.026179E+004   3.209888E+001 
    1     7   1.034152E+004   3.175473E+001 
    1     8   1.152183E+004   3.145951E+001 
    2     0   1.163573E+004   3.125356E+001 
    2     1   1.178951E+004   3.118626E+001 
    0    12   1.194031E+004   3.153646E+001 
    2     2   1.209524E+004   3.113008E+001 
    2     3   1.255050E+004   3.098932E+001 
    1     9   1.281752E+004   3.112671E+001 
    2     4   1.315072E+004   3.086340E+001 
    0    13   1.370318E+004   3.092582E+001 
    2     5   1.389070E+004   3.067043E+001 
    1    10   1.422111E+004   3.079635E+001 
    2     6   1.476414E+004   3.048693E+001 
    0    14   1.554025E+004   3.038499E+001 
    1    11   1.572229E+004   3.040163E+001 
    2     7   1.576338E+004   3.025481E+001 
    2     8   1.688055E+004   3.003478E+001 
    3     0   1.695284E+004   2.993110E+001 
    3     1   1.709837E+004   2.988430E+001 
    1    12   1.731122E+004   3.003792E+001 
    3     2   1.738779E+004   2.983431E+001 
    0    15   1.744391E+004   2.966158E+001 
    3     3   1.781869E+004   2.972881E+001 
    2     9   1.810741E+004   2.976096E+001 
    3     4   1.838652E+004   2.962412E+001 
    1    13   1.897972E+004   2.957816E+001 
    3     5   1.908649E+004   2.947558E+001 
    0    16   1.940345E+004   2.920948E+001 
    2    10   1.943491E+004   2.951251E+001 
    3     6   1.991225E+004   2.931772E+001 
    1    14   2.071785E+004   2.909970E+001 
    2    11   2.085383E+004   2.908065E+001 
    3     7   2.085653E+004   2.913455E+001 
    0    17   2.141168E+004   2.808831E+001 
    3     8   2.191171E+004   2.893648E+001 
    4     0   2.194278E+004   2.883361E+001 
    4     1   2.208004E+004   2.880878E+001 
    4     2   2.235326E+004   2.873820E+001 
    2    12   2.235535E+004   2.880363E+001 
    1    15   2.251712E+004   2.846754E+001 
    4     3   2.275983E+004   2.864100E+001 
    3     9   2.306999E+004   2.857299E+001 
    4     4   2.329564E+004   2.852198E+001 
    0    18   2.345990E+004   2.789499E+001 
    2    13   2.393080E+004   2.836248E+001 
    4     5   2.395581E+004   2.839658E+001 
