     Distance         timeN            Tn        a6D-J9        a6D-J7        a6D-J5        a6D-J3        a6D-J1        a4F-J9        a4F-J7        a4F-J5        a4F-J3        a4D-J7        a4D-J5        a4D-J3        a4D-J1        a4P-J5        a4P-J3        a4P-J1        b4P-J5        b4P-J3        b4P-J1       a4H-J13       a4H-J11        a4H-J9        a4H-J7        b4F-J9        b4F-J7        b4F-J5        b4F-J3       a4G-J11        a4G-J9        a4G-J7        a4G-J5        b4D-J7        b4D-J5        b4D-J3        b4D-J1 
  1.000000000E+005   1.2676E-009   1.0003E+001   1.0000E+000   1.2974E-026   2.7993E-044   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000 
  3.277596944E+005   4.1556E-009   1.0032E+001   1.0000E+000   1.5228E-026   3.6930E-044   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000 
  1.573974732E+006   2.0008E-008   1.3704E+001   1.0000E+000   4.0890E-020   5.7568E-033   2.6092E-037   7.1071E-037   3.8160E-035   2.6333E-037   3.6128E-037   4.0368E-037   1.0898E-039   3.9705E-040   1.1289E-039   3.5967E-040   6.8682E-040   5.9724E-039   1.3221E-040   5.4433E-044   7.3206E-063   3.3187E-090   1.6334E-040   9.8877E-044   1.0486E-043   1.1302E-043   5.0814E-044   1.8255E-042   7.2518E-044   9.6354E-042   3.9138E-044   3.8148E-044   3.8757E-044   3.9465E-044   5.1438E-045   3.3527E-044   4.9809E-044   1.2709E-039 
  2.692993440E+006   3.4389E-008   3.5678E+001   1.0000E+000   2.6848E-009   3.1172E-014   1.5990E-017   2.0165E-019   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000 
  3.685789223E+006   4.7342E-008   9.2133E+001   9.9996E-001   3.7313E-005   4.6863E-007   3.0501E-008   6.1249E-009   2.9703E-018   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000 
  4.854790880E+006   6.2925E-008   2.3947E+002   9.9766E-001   1.7844E-003   3.4562E-004   1.3661E-004   7.4516E-005   2.0939E-010   8.9374E-014   8.8405E-015   2.5812E-015   9.4692E-023   3.5653E-023   1.0155E-022   3.6938E-023   5.9189E-023   5.1293E-022   1.1426E-023   5.4525E-026   2.4450E-024   2.5154E-024   1.4202E-024   4.5001E-025   1.6584E-025   7.0864E-026   4.7678E-027   1.5719E-025   6.6122E-027   8.2830E-025   3.5573E-027   3.4673E-027   3.5226E-027   3.5871E-027   2.6152E-027   2.8536E-027   2.8787E-027   1.0920E-022 
  6.023792537E+006   7.8978E-008   5.2173E+002   9.8390E-001   8.1650E-003   3.6607E-003   2.4516E-003   1.8197E-003   1.1098E-007   3.3391E-010   1.1793E-010   7.4212E-011   3.2300E-017   7.3631E-018   2.4621E-018   8.4300E-019   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000 
  7.192794193E+006   9.5632E-008   9.9259E+002   9.5918E-001   1.6451E-002   9.8293E-003   7.9368E-003   6.6000E-003   1.6646E-006   1.1635E-008   6.3969E-009   5.2869E-009   1.3165E-012   5.2920E-013   2.5443E-013   1.0798E-013   9.3643E-017   5.2621E-017   1.9115E-017   8.2740E-023   0.0000E+000   0.0000E+000   2.1106E-022   1.4869E-022   1.0485E-022   7.3105E-023   1.0731E-023   0.0000E+000   5.7292E-024   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000 
  8.361795850E+006   1.1303E-007   1.7045E+003   9.3469E-001   2.3561E-002   1.5843E-002   1.3845E-002   1.2052E-002   6.3965E-006   6.8438E-008   4.5043E-008   4.1798E-008   1.9846E-010   1.0320E-010   5.8565E-011   2.7438E-011   3.9218E-013   2.4882E-013   1.0389E-013   3.0855E-017   7.5060E-018   2.1031E-018   9.8388E-017   7.7342E-017   5.9888E-017   4.5306E-017   1.1848E-017   9.5795E-018   7.8941E-018   6.0479E-018   1.0703E-018   6.3249E-019   4.4324E-019   3.1814E-019   3.1710E-021   2.8120E-021   1.9298E-021   0.0000E+000 
  9.530797507E+006   1.3134E-007   2.7032E+003   9.1481E-001   2.9093E-002   2.0698E-002   1.8768E-002   1.6621E-002   1.3263E-005   1.8451E-007   1.3201E-007   1.2920E-007   2.8071E-009   1.6628E-009   1.0267E-009   5.0564E-010   3.0632E-011   2.0682E-011   9.2760E-012   2.3940E-014   7.8999E-015   2.6642E-015   8.6956E-014   7.2267E-014   5.8683E-014   4.6282E-014   1.6163E-014   1.3778E-014   1.1820E-014   9.3219E-015   3.4751E-015   2.3100E-015   1.7099E-015   1.2558E-015   6.7994E-017   5.8532E-017   3.9871E-017   1.9578E-017 
