     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  1.000000000E+005   1.2676E-009   1.0000E+001   6.6689E-025   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   5.1573E-046   2.3159E-021   4.2830E-022   1.3186E-032   4.4485E-033   3.3600E-032   1.4024E-040   3.3095E-026   3.3877E-031   1.6338E-041   5.2310E-042   0.0000E+000   0.0000E+000   3.8675E-030   2.9939E-035   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   1.5208E-040 
  7.023518923E+005   8.9027E-009   1.0000E+001   8.7009E-024   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   6.7288E-045   3.0215E-020   5.5880E-021   1.3422E-031   4.5281E-032   4.3838E-031   1.8297E-039   4.3179E-025   4.4200E-030   1.0969E-039   3.5119E-040   0.0000E+000   0.0000E+000   5.0459E-029   3.9062E-034   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   0.0000E+000   1.9842E-039 
  5.010482483E+006   6.3510E-008   1.0000E+001   6.6162E-023   9.2131E-063   4.9543E-063   1.0896E-062   1.5159E-062   1.4488E-035   5.1166E-044   2.2976E-019   4.2491E-020   1.6000E-030   5.3978E-031   3.3335E-030   1.3913E-038   3.2833E-024   3.3610E-029   1.3091E-038   4.1914E-039   0.0000E+000   0.0000E+000   3.8369E-028   2.9703E-033   7.9238E-046   1.4911E-042   4.3906E-042   0.0000E+000   0.0000E+000   1.5088E-038 
  2.258623810E+007   2.8629E-007   1.0000E+001   3.0058E-022   1.7791E-062   9.5668E-063   2.1041E-062   2.9273E-062   2.7976E-035   2.3245E-043   1.0438E-018   1.9305E-019   9.4863E-030   3.2004E-030   1.5144E-029   6.3211E-038   1.4917E-023   1.5269E-028   2.7829E-038   8.9102E-039   0.0000E+000   0.0000E+000   1.7432E-027   1.3494E-032   4.2646E-045   8.0254E-042   2.3630E-041   0.0000E+000   0.0000E+000   6.8546E-038 
  5.163112052E+007   6.5445E-007   1.0000E+001   6.8798E-022   4.8203E-062   2.5921E-062   5.7010E-062   7.9313E-062   7.5800E-035   5.3204E-043   2.3891E-018   4.4184E-019   2.1431E-029   7.2301E-030   3.4663E-029   1.4468E-037   3.4142E-023   3.4949E-028   2.7829E-038   8.9102E-039   0.0000E+000   0.0000E+000   3.9898E-027   3.0886E-032   7.7608E-045   1.4605E-041   4.3003E-041   0.0000E+000   0.0000E+000   1.5689E-037 
  8.067600293E+007   1.0226E-006   1.0000E+001   1.0754E-021   7.8615E-062   4.2275E-062   9.2979E-062   1.2935E-061   1.2362E-034   8.3163E-043   3.7344E-018   6.9064E-019   3.2011E-029   1.0799E-029   5.4181E-029   2.2614E-037   5.3366E-023   5.4628E-028   2.7829E-038   8.9102E-039   0.0000E+000   0.0000E+000   6.2364E-027   4.8278E-032   1.3036E-044   2.4533E-041   7.2236E-041   0.0000E+000   0.0000E+000   2.4523E-037 
  1.097208853E+008   1.3908E-006   1.0000E+001   1.4628E-021   1.6985E-061   9.1337E-062   2.0088E-061   2.7947E-061   2.6710E-034   1.1312E-042   5.0797E-018   9.3944E-019   3.8521E-029   1.2996E-029   7.3699E-029   3.0761E-037   7.2591E-023   7.4307E-028   2.9751E-038   9.5253E-039   0.0000E+000   0.0000E+000   8.4830E-027   6.5670E-032   1.7534E-044   3.2996E-041   9.7155E-041   0.0000E+000   0.0000E+000   3.3357E-037 
  2.047371493E+008   2.5951E-006   1.0000E+001   2.7301E-021   2.4392E-061   1.3117E-061   2.8848E-061   4.0134E-061   3.8357E-034   2.1113E-042   9.4805E-018   1.7533E-018   6.1409E-029   2.0718E-029   1.3755E-028   5.7412E-037   1.3548E-022   1.3869E-027   2.9751E-038   9.5253E-039   0.0000E+000   0.0000E+000   1.5832E-026   1.2256E-031   2.8752E-044   5.4108E-041   1.5932E-040   0.0000E+000   0.0000E+000   6.2257E-037 
  1.503523267E+009   1.9058E-005   1.0000E+001   2.0053E-020   4.0378E-060   2.1713E-060   4.7755E-060   6.6437E-060   6.3495E-033   1.5508E-041   6.9637E-017   1.2879E-017   3.8869E-028   1.3113E-028   1.0103E-027   4.2170E-036   9.9515E-022   1.0187E-026   3.2606E-036   1.0440E-036   0.0000E+000   0.0000E+000   1.1629E-025   9.0026E-031   9.8299E-044   1.8498E-040   5.4468E-040   0.0000E+000   0.0000E+000   4.5730E-036 
  9.786887936E+009   1.2405E-004   1.0000E+001   1.3053E-019   3.3609E-059   1.8073E-059   3.9749E-059   5.5299E-059   5.2850E-032   1.0095E-040   4.5330E-016   8.3834E-017   1.9508E-027   6.5816E-028   6.5768E-027   2.7451E-035   6.4779E-021   6.6310E-026   6.2388E-035   1.9975E-035   0.0000E+000   0.0000E+000   7.5700E-025   5.8603E-030   1.3958E-042   2.6266E-039   7.7340E-039   0.0000E+000   0.0000E+000   2.9768E-035 
