     Distance         timeN            Tn            nH          n(H)         n(H2)         n(C+)          n(C)         n(CO)          n(O)         n(OH)        n(H2O)          N(H)         N(H2)         N(C+)          N(C)         N(CO)          N(O)         N(OH)        N(H2O)      C+(158m)     C(609.8m)     C(370.4m)      O(63.2m)     O(145.3m) 
  1.000E+005   1.268E-009   1.000E+001   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.304E-002   5.155E+004   5.000E+009   2.929E+000   1.043E+003   8.236E+005   1.076E+005   3.600E+001   2.304E+003   6.669E-025   2.316E-021   4.283E-022   3.310E-026   3.388E-031 
  7.024E+005   8.903E-009   1.000E+001   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.304E-002   3.621E+005   3.512E+010   2.057E+001   7.326E+003   5.785E+006   7.557E+005   2.528E+002   1.618E+004   8.701E-024   3.022E-020   5.588E-021   4.318E-025   4.420E-030 
  5.010E+006   6.351E-008   1.000E+001   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.304E-002   2.583E+006   2.505E+011   1.468E+002   5.226E+004   4.127E+007   5.391E+006   1.804E+003   1.154E+005   6.616E-023   2.298E-019   4.249E-020   3.283E-024   3.361E-029 
  2.259E+007   2.863E-007   1.000E+001   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.304E-002   1.164E+007   1.129E+012   6.616E+002   2.356E+005   1.860E+008   2.430E+007   8.131E+003   5.204E+005   3.006E-022   1.044E-018   1.930E-019   1.492E-023   1.527E-028 
  5.163E+007   6.545E-007   1.000E+001   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.304E-002   2.662E+007   2.582E+012   1.512E+003   5.385E+005   4.252E+008   5.556E+007   1.859E+004   1.190E+006   6.880E-022   2.389E-018   4.418E-019   3.414E-023   3.495E-028 
  8.068E+007   1.023E-006   1.000E+001   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.304E-002   4.159E+007   4.034E+012   2.363E+003   8.415E+005   6.644E+008   8.681E+007   2.904E+004   1.859E+006   1.075E-021   3.734E-018   6.906E-019   5.337E-023   5.463E-028 
  1.097E+008   1.391E-006   1.000E+001   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.304E-002   5.656E+007   5.486E+012   3.214E+003   1.144E+006   9.037E+008   1.181E+008   3.950E+004   2.528E+006   1.463E-021   5.080E-018   9.394E-019   7.259E-023   7.431E-028 
  2.047E+008   2.595E-006   1.000E+001   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.304E-002   1.055E+008   1.024E+013   5.997E+003   2.135E+006   1.686E+009   2.203E+008   7.371E+004   4.717E+006   2.730E-021   9.481E-018   1.753E-018   1.355E-022   1.387E-027 
  1.504E+009   1.906E-005   1.000E+001   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.304E-002   7.751E+008   7.518E+013   4.404E+004   1.568E+007   1.238E+010   1.618E+009   5.413E+005   3.464E+007   2.005E-020   6.964E-017   1.288E-017   9.951E-022   1.019E-026 
  9.787E+009   1.241E-004   1.000E+001   1.000E+005   5.155E-001   5.000E+004   2.929E-005   1.043E-002   8.236E+000   1.076E+000   3.600E-004   2.304E-002   5.045E+009   4.893E+014   2.867E+005   1.021E+008   8.060E+010   1.053E+010   3.523E+006   2.255E+008   1.305E-019   4.533E-016   8.383E-017   6.478E-021   6.631E-026 
