     distance         timeN         timeI            nH         op_H2            Vn            Vi            Tn            Ti            Te        Vsound       Vmagnet          rhoN          rhoI        rhoNEG      DensityN      DensityI    DensityNEG           muN           muI         muNEG       -dVn/dz       -dVi/dz    Nlayers_gr      n(grain)      MDens_gr MDens_gr_char        Rgrain     -DissH2_t     -DissH2_n     -DissH2_i     -DissH2_e       F_gr_H2     E_gr_H2_K         x(H2)          x(H)         x(H+)     sum(neut)     sum(ions)     sum(nega)         Vgrad 
  1.000000000E+005   1.2676E-009   1.2676E-009   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.6392E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8301E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   4.3253E-031   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.5710E-014 
  7.023518923E+005   8.9027E-009   8.9027E-009   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.6392E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8324E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   3.0184E-030   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.5710E-014 
  5.010482483E+006   6.3510E-008   6.3510E-008   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.6392E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8576E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   2.1325E-029   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.5710E-014 
  2.258623810E+007   2.8629E-007   2.8629E-007   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.6392E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8388E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   9.7323E-029   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.5710E-014 
  5.163112052E+007   6.5445E-007   6.5445E-007   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.6392E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8325E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   2.2197E-028   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.5710E-014 
  8.067600293E+007   1.0226E-006   1.0226E-006   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.6391E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8324E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   3.3862E-028   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.5710E-014 
  1.097208853E+008   1.3908E-006   1.3908E-006   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.6391E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8324E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   4.6992E-028   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.5710E-014 
  2.047371493E+008   2.5951E-006   2.5951E-006   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.6390E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8324E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   8.7147E-028   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.5709E-014 
  1.503523267E+009   1.9058E-005   1.9058E-005   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.6373E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8324E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   6.4613E-027   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.5705E-014 
  9.786887936E+009   1.2405E-004   1.2405E-004   1.0000E+005   3.0000E+000   2.5000E+006   2.5000E+006   1.0000E+001   1.0000E+001   1.0000E+001   2.4173E+004   3.6266E+006   2.3653E-019   4.2519E-025   5.5834E-024   6.0066E+004   5.2033E-003   5.0430E-003   3.9379E-024   8.1716E-023   1.1072E-021  -2.8324E-017  -2.8324E-017   8.4055E+001   4.5816E-006   1.9909E-021   4.1833E-026   4.6611E-006  -0.0000E+000  -0.0000E+000  -0.0000E+000  -0.0000E+000   6.0519E-012   2.1501E+004   5.0000E-001   5.1550E-006   6.0940E-010   6.0009E+004   5.2033E-003   5.0430E-003   4.5674E-014 
