     distance         timeN            Tn            nH          x(H)         x(H2)         x(He)          x(C)         x(CH)        x(CH2)        x(CH3)        x(CH4)          x(O)         x(O2)         x(OH)        x(H2O)         x(CO)        x(CO2)         x(C2)        x(C2H)       x(C2H2)         x(C3)        x(C3H)       x(C3H2)       x(CH4O)        x(HCO)       x(H2CO)      x(H2CO2)          x(N)         x(NH)        x(NH2)        x(NH3)         x(CN)        x(HCN)        x(HNC)         x(N2)         x(NO)          x(S)         x(SH)        x(H2S)         x(CS)         x(SO)        x(SO2)        x(OCS)         x(Si)        x(SiH)       x(SiH2)       x(SiH3)       x(SiH4)        x(SiO)       x(SiO2)         x(Mg)         x(Fe)     x(C54H18)          x(G)       x(H2O*)        x(O2*)        x(CO*)       x(CO2*)       x(CH4*)       x(NH3*)        x(N2*)      x(CH4O*)      x(H2CO*)     x(H2CO2*)       x(OCS*)       x(H2S*)        x(Fe*)      x(SiH4*)       x(SiO*)      x(SiO2*)        x(O**)       x(Si**)       x(Mg**)       x(Fe**)        x(C**)         x(H+)        x(H2+)        x(H3+)        x(He+)         x(C+)        x(CH+)       x(CH2+)       x(CH3+)       x(CH4+)       x(CH5+)         x(O+)        x(O2+)        x(OH+)       x(H2O+)       x(H3O+)        x(CO+)       x(HCO+)      x(HCO2+)      x(H2CO+)      x(H3CO+)      x(CH4O+)      x(CH5O+)        x(C2+)       x(C2H+)      x(C2H2+)      x(C2H3+)        x(C3+)       x(C3H+)      x(C3H2+)      x(C3H3+)         x(N+)        x(NH+)       x(NH2+)       x(NH3+)       x(NH4+)        x(CN+)       x(C2N+)       x(HCN+)      x(H2CN+)      x(H2NC+)        x(N2+)       x(N2H+)        x(NO+)       x(HNO+)         x(S+)        x(SH+)       x(H2S+)       x(H3S+)        x(CS+)       x(HCS+)        x(SO+)       x(HSO+)      x(HSO2+)      x(HOCS+)        x(Si+)       x(SiH+)      x(SiH2+)      x(SiH3+)      x(SiH4+)      x(SiH5+)       x(SiO+)      x(SiOH+)        x(Fe+)    x(C54H18+)         x(G+)    x(C54H18-)         x(G-) 
  1.000000000E+005   1.2676E-009   1.0003E+001   1.0001E+005   5.1550E-006   5.0000E-001   9.9919E-002   1.0430E-007   9.7679E-012   5.1410E-011   4.0820E-011   3.3410E-008   1.0760E-005   1.5350E-006   3.6000E-009   2.3040E-007   8.2360E-005   7.2290E-009   1.3850E-010   3.4080E-010   7.4260E-011   1.0750E-015   2.6180E-014   6.4240E-013   1.5931E-022   7.0080E-009   4.5420E-011   1.0010E-016   3.6360E-005   1.3170E-011   1.1460E-011   4.4360E-011   4.0830E-010   1.5070E-008   1.7000E-008   1.3550E-005   3.9280E-007   1.3780E-005   3.9850E-007   3.8290E-007   8.3900E-008   8.1180E-009   3.0560E-009   1.1230E-011   4.5430E-017   2.9740E-020   1.8910E-020   8.5400E-023   4.8410E-022   1.4310E-015   1.4510E-017   9.9919E-017   1.4710E-008   9.4830E-007   4.1540E-011   1.0280E-004   1.3510E-005   8.2640E-006   1.3380E-005   1.5480E-006   1.5480E-006   6.9660E-006   3.1000E-006   6.1940E-006   7.2340E-006   2.0670E-007   3.7170E-006   3.2420E-015   9.9919E-017   2.6700E-006   9.9919E-017   1.3980E-004   3.1000E-005   3.6970E-005   3.2270E-005   1.6280E-004   6.0940E-010   2.2850E-013   1.0810E-009   8.7870E-011   2.9290E-010   2.5630E-015   4.6100E-015   4.9270E-011   1.5540E-015   2.3760E-012   6.5140E-016   5.9900E-011   1.9460E-014   2.6520E-014   1.0820E-009   1.7050E-015   1.1400E-008   6.1250E-013   1.3340E-013   3.1040E-013   9.9999E-026   9.9999E-026   8.5720E-019   1.1950E-018   6.8320E-013   3.8000E-012   6.6600E-019   3.2980E-017   4.9980E-016   6.1710E-014   1.3980E-011   4.0230E-019   2.9970E-018   2.1790E-015   2.3590E-013   8.5050E-018   1.4270E-011   4.6110E-016   7.3810E-010   5.8400E-015   1.1000E-015   2.1880E-010   1.7560E-009   1.8620E-011   1.8300E-008   4.1670E-009   2.8780E-010   1.5070E-009   3.3750E-015   1.6270E-010   8.5100E-009   4.9100E-011   2.4510E-012   1.5510E-013   4.7790E-019   6.3690E-020   5.5910E-021   3.4780E-021   9.9999E-026   6.1250E-024   1.9910E-023   8.5580E-018   2.7170E-010   1.3440E-009   1.5060E-012   5.0430E-008   2.7660E-012 
  3.277596944E+005   4.1556E-009   1.0032E+001   1.0006E+005   5.1550E-006   5.0000E-001   9.9919E-002   1.0430E-007   9.7679E-012   5.1410E-011   4.0820E-011   3.3410E-008   1.0760E-005   1.5350E-006   3.6000E-009   2.3040E-007   8.2360E-005   7.2290E-009   1.3850E-010   3.4080E-010   7.4260E-011   1.0750E-015   2.6180E-014   6.4240E-013   5.0868E-022   7.0080E-009   4.5420E-011   1.0010E-016   3.6360E-005   1.3170E-011   1.1460E-011   4.4360E-011   4.0830E-010   1.5070E-008   1.7000E-008   1.3550E-005   3.9280E-007   1.3780E-005   3.9850E-007   3.8290E-007   8.3900E-008   8.1180E-009   3.0560E-009   1.1230E-011   4.5430E-017   2.9740E-020   1.8910E-020   8.5400E-023   4.8410E-022   1.4310E-015   1.4510E-017   9.9919E-017   1.4710E-008   9.4830E-007   4.1540E-011   1.0280E-004   1.3510E-005   8.2640E-006   1.3380E-005   1.5480E-006   1.5480E-006   6.9660E-006   3.1000E-006   6.1940E-006   7.2340E-006   2.0670E-007   3.7170E-006   3.2420E-015   9.9919E-017   2.6700E-006   9.9919E-017   1.3980E-004   3.1000E-005   3.6970E-005   3.2270E-005   1.6280E-004   6.0940E-010   2.2850E-013   1.0810E-009   8.7870E-011   2.9290E-010   2.5630E-015   4.6100E-015   4.9270E-011   1.5540E-015   2.3760E-012   6.5140E-016   5.9900E-011   1.9460E-014   2.6520E-014   1.0820E-009   1.7050E-015   1.1400E-008   6.1250E-013   1.3340E-013   3.1040E-013   9.9999E-026   9.9999E-026   8.5720E-019   1.1950E-018   6.8320E-013   3.8000E-012   6.6600E-019   3.2980E-017   4.9980E-016   6.1710E-014   1.3980E-011   4.0230E-019   2.9970E-018   2.1790E-015   2.3590E-013   8.5050E-018   1.4270E-011   4.6110E-016   7.3810E-010   5.8400E-015   1.1000E-015   2.1880E-010   1.7560E-009   1.8620E-011   1.8300E-008   4.1670E-009   2.8780E-010   1.5070E-009   3.3750E-015   1.6270E-010   8.5100E-009   4.9100E-011   2.4510E-012   1.5510E-013   4.7790E-019   6.3690E-020   5.5910E-021   3.4780E-021   9.9999E-026   6.1250E-024   1.9910E-023   8.5580E-018   2.7170E-010   1.3440E-009   1.5060E-012   5.0430E-008   2.7660E-012 
  1.573974732E+006   2.0008E-008   1.3704E+001   1.0078E+005   5.1550E-006   5.0000E-001   9.9919E-002   1.0430E-007   9.7679E-012   5.1410E-011   4.0820E-011   3.3410E-008   1.0760E-005   1.5350E-006   3.6000E-009   2.3040E-007   8.2360E-005   7.2290E-009   1.3850E-010   3.4080E-010   7.4260E-011   1.0750E-015   2.6180E-014   6.4240E-013   2.4919E-021   7.0080E-009   4.5420E-011   1.0011E-016   3.6360E-005   1.3170E-011   1.1460E-011   4.4360E-011   4.0830E-010   1.5070E-008   1.7000E-008   1.3550E-005   3.9280E-007   1.3780E-005   3.9850E-007   3.8290E-007   8.3900E-008   8.1180E-009   3.0560E-009   1.1230E-011   4.5430E-017   2.9740E-020   1.8910E-020   8.5400E-023   4.8410E-022   1.4310E-015   1.4510E-017   9.9919E-017   1.4710E-008   9.4830E-007   4.1540E-011   1.0280E-004   1.3510E-005   8.2640E-006   1.3380E-005   1.5480E-006   1.5480E-006   6.9660E-006   3.1000E-006   6.1940E-006   7.2340E-006   2.0670E-007   3.7170E-006   3.2420E-015   9.9919E-017   2.6700E-006   9.9919E-017   1.3980E-004   3.1000E-005   3.6970E-005   3.2270E-005   1.6280E-004   6.0940E-010   2.2850E-013   1.0810E-009   8.7870E-011   2.9290E-010   2.5630E-015   4.6100E-015   4.9270E-011   1.5540E-015   2.3760E-012   6.5140E-016   5.9900E-011   1.9460E-014   2.6520E-014   1.0820E-009   1.7050E-015   1.1400E-008   6.1250E-013   1.3340E-013   3.1040E-013   9.9999E-026   9.9999E-026   8.5720E-019   1.1950E-018   6.8320E-013   3.8000E-012   6.6600E-019   3.2980E-017   4.9980E-016   6.1710E-014   1.3980E-011   4.0246E-019   2.9970E-018   2.1790E-015   2.3590E-013   8.5050E-018   1.4270E-011   4.6110E-016   7.3810E-010   5.8400E-015   1.1000E-015   2.1880E-010   1.7560E-009   1.8620E-011   1.8300E-008   4.1670E-009   2.8780E-010   1.5070E-009   3.3750E-015   1.6270E-010   8.5100E-009   4.9100E-011   2.4510E-012   1.5510E-013   4.7790E-019   6.3690E-020   5.5910E-021   3.4780E-021   9.9996E-026   6.1250E-024   1.9910E-023   8.5580E-018   2.7170E-010   1.3440E-009   1.5060E-012   5.0430E-008   2.7660E-012 
  2.692993440E+006   3.4389E-008   3.5678E+001   1.0211E+005   5.1550E-006   5.0000E-001   9.9919E-002   1.0430E-007   9.7679E-012   5.1410E-011   4.0820E-011   3.3410E-008   1.0760E-005   1.5350E-006   3.6000E-009   2.3040E-007   8.2360E-005   7.2290E-009   1.3850E-010   3.4080E-010   7.4260E-011   1.0750E-015   2.6180E-014   6.4240E-013   4.2876E-021   7.0080E-009   4.5420E-011   1.0011E-016   3.6360E-005   1.3170E-011   1.1460E-011   4.4360E-011   4.0830E-010   1.5070E-008   1.7000E-008   1.3550E-005   3.9280E-007   1.3780E-005   3.9850E-007   3.8290E-007   8.3900E-008   8.1180E-009   3.0560E-009   1.1230E-011   4.5430E-017   2.9740E-020   1.8910E-020   8.5400E-023   4.8410E-022   1.4310E-015   1.4510E-017   9.9919E-017   1.4710E-008   9.4830E-007   4.1540E-011   1.0280E-004   1.3510E-005   8.2640E-006   1.3380E-005   1.5480E-006   1.5480E-006   6.9660E-006   3.1000E-006   6.1940E-006   7.2340E-006   2.0670E-007   3.7170E-006   3.2420E-015   9.9919E-017   2.6700E-006   9.9919E-017   1.3980E-004   3.1000E-005   3.6970E-005   3.2270E-005   1.6280E-004   6.0940E-010   2.2850E-013   1.0810E-009   8.7870E-011   2.9290E-010   2.5630E-015   4.6100E-015   4.9270E-011   1.5540E-015   2.3760E-012   6.5140E-016   5.9900E-011   1.9460E-014   2.6520E-014   1.0820E-009   1.7050E-015   1.1400E-008   6.1250E-013   1.3340E-013   3.1040E-013   9.9999E-026   9.9999E-026   8.5720E-019   1.1950E-018   6.8320E-013   3.8000E-012   6.6600E-019   3.2980E-017   4.9980E-016   6.1710E-014   1.3980E-011   8.0413E-019   2.9970E-018   2.1790E-015   2.3590E-013   8.5050E-018   1.4270E-011   4.6110E-016   7.3810E-010   5.8400E-015   1.1000E-015   2.1880E-010   1.7560E-009   1.8620E-011   1.8300E-008   4.1670E-009   2.8780E-010   1.5070E-009   3.3750E-015   1.6270E-010   8.5100E-009   4.9100E-011   2.4510E-012   1.5510E-013   4.7790E-019   6.3690E-020   5.5910E-021   3.4780E-021   9.9994E-026   6.1250E-024   1.9910E-023   8.5580E-018   2.7170E-010   1.3440E-009   1.5060E-012   5.0430E-008   2.7660E-012 
  3.685789223E+006   4.7342E-008   9.2133E+001   1.0385E+005   5.1550E-006   5.0000E-001   9.9919E-002   1.0430E-007   9.7679E-012   5.1410E-011   4.0820E-011   3.3410E-008   1.0760E-005   1.5350E-006   3.6000E-009   2.3040E-007   8.2360E-005   7.2290E-009   1.3850E-010   3.4080E-010   7.4260E-011   1.0750E-015   2.6180E-014   6.4240E-013   5.9083E-021   7.0080E-009   4.5420E-011   1.0011E-016   3.6360E-005   1.3170E-011   1.1460E-011   4.4360E-011   4.0830E-010   1.5070E-008   1.7000E-008   1.3550E-005   3.9280E-007   1.3780E-005   3.9850E-007   3.8290E-007   8.3900E-008   8.1180E-009   3.0560E-009   1.1230E-011   4.5430E-017   2.9740E-020   1.8910E-020   8.5400E-023   4.8410E-022   1.4310E-015   1.4510E-017   9.9919E-017   1.4710E-008   9.4830E-007   4.1540E-011   1.0280E-004   1.3510E-005   8.2640E-006   1.3380E-005   1.5480E-006   1.5480E-006   6.9660E-006   3.1000E-006   6.1940E-006   7.2340E-006   2.0670E-007   3.7170E-006   3.2420E-015   9.9919E-017   2.6700E-006   9.9919E-017   1.3980E-004   3.1000E-005   3.6970E-005   3.2270E-005   1.6280E-004   6.0940E-010   2.2850E-013   1.0810E-009   8.7870E-011   2.9290E-010   2.5630E-015   4.6100E-015   4.9270E-011   1.5540E-015   2.3760E-012   6.5140E-016   5.9900E-011   1.9460E-014   2.6520E-014   1.0820E-009   1.7050E-015   1.1400E-008   6.1250E-013   1.3340E-013   3.1040E-013   9.9999E-026   9.9999E-026   8.5720E-019   1.1950E-018   6.8320E-013   3.8000E-012   6.6600E-019   3.2980E-017   4.9980E-016   6.1710E-014   1.3980E-011   1.6972E-017   2.9971E-018   2.1790E-015   2.3590E-013   8.5050E-018   1.4270E-011   4.6110E-016   7.3810E-010   5.8400E-015   1.1000E-015   2.1880E-010   1.7560E-009   1.8620E-011   1.8300E-008   4.1670E-009   2.8780E-010   1.5070E-009   3.3750E-015   1.6270E-010   8.5100E-009   4.9100E-011   2.4510E-012   1.5510E-013   4.7790E-019   6.3690E-020   5.5910E-021   3.4780E-021   9.9992E-026   6.1250E-024   1.9910E-023   8.5580E-018   2.7170E-010   1.3440E-009   1.5060E-012   5.0430E-008   2.7660E-012 
  4.854790880E+006   6.2925E-008   2.3947E+002   1.0661E+005   5.1550E-006   5.0000E-001   9.9919E-002   1.0430E-007   9.7679E-012   5.1410E-011   4.0820E-011   3.3410E-008   1.0760E-005   1.5350E-006   3.6000E-009   2.3040E-007   8.2360E-005   7.2290E-009   1.3850E-010   3.4080E-010   7.4260E-011   1.0750E-015   2.6180E-014   6.4240E-013   7.8581E-021   7.0080E-009   4.5420E-011   1.0012E-016   3.6360E-005   1.3170E-011   1.1460E-011   4.4360E-011   4.0830E-010   1.5070E-008   1.7000E-008   1.3550E-005   3.9280E-007   1.3780E-005   3.9850E-007   3.8290E-007   8.3900E-008   8.1180E-009   3.0560E-009   1.1230E-011   4.5430E-017   2.9740E-020   1.8910E-020   8.5400E-023   4.8410E-022   1.4310E-015   1.4510E-017   9.9919E-017   1.4710E-008   9.4830E-007   4.1540E-011   1.0280E-004   1.3510E-005   8.2640E-006   1.3380E-005   1.5480E-006   1.5480E-006   6.9660E-006   3.1000E-006   6.1940E-006   7.2340E-006   2.0670E-007   3.7170E-006   3.2421E-015   9.9919E-017   2.6700E-006   9.9919E-017   1.3980E-004   3.1000E-005   3.6970E-005   3.2270E-005   1.6280E-004   6.0940E-010   2.2850E-013   1.0810E-009   8.7870E-011   2.9290E-010   2.5630E-015   4.6100E-015   4.9270E-011   1.5540E-015   2.3760E-012   6.5145E-016   5.9900E-011   1.9460E-014   2.6520E-014   1.0820E-009   1.7050E-015   1.1400E-008   6.1250E-013   1.3340E-013   3.1040E-013   9.9999E-026   9.9999E-026   8.5720E-019   1.1950E-018   6.8320E-013   3.8000E-012   6.6600E-019   3.2980E-017   4.9980E-016   6.1710E-014   1.3980E-011   1.1742E-016   2.9990E-018   2.1790E-015   2.3590E-013   8.5050E-018   1.4270E-011   4.6110E-016   7.3810E-010   5.8400E-015   1.1000E-015   2.1880E-010   1.7560E-009   1.8620E-011   1.8300E-008   4.1670E-009   2.8780E-010   1.5070E-009   3.3750E-015   1.6270E-010   8.5100E-009   4.9100E-011   2.4510E-012   1.5510E-013   4.7790E-019   6.3690E-020   5.5910E-021   3.4780E-021   9.9989E-026   6.1250E-024   1.9910E-023   8.5580E-018   2.7170E-010   1.3440E-009   1.5060E-012   5.0430E-008   2.7660E-012 
  6.023792537E+006   7.8978E-008   5.2173E+002   1.1021E+005   5.1550E-006   5.0000E-001   9.9919E-002   1.0430E-007   9.7679E-012   5.1410E-011   4.0820E-011   3.3410E-008   1.0760E-005   1.5350E-006   3.6000E-009   2.3040E-007   8.2360E-005   7.2290E-009   1.3850E-010   3.4080E-010   7.4260E-011   1.0750E-015   2.6180E-014   6.4240E-013   9.8667E-021   7.0080E-009   4.5420E-011   1.0012E-016   3.6360E-005   1.3170E-011   1.1460E-011   4.4360E-011   4.0830E-010   1.5070E-008   1.7000E-008   1.3550E-005   3.9280E-007   1.3780E-005   3.9850E-007   3.8290E-007   8.3900E-008   8.1180E-009   3.0560E-009   1.1230E-011   4.5430E-017   2.9740E-020   1.8910E-020   8.5400E-023   4.8410E-022   1.4310E-015   1.4510E-017   9.9919E-017   1.4710E-008   9.4830E-007   4.1540E-011   1.0280E-004   1.3510E-005   8.2640E-006   1.3380E-005   1.5480E-006   1.5480E-006   6.9660E-006   3.1000E-006   6.1940E-006   7.2340E-006   2.0670E-007   3.7170E-006   3.2421E-015   9.9919E-017   2.6700E-006   9.9919E-017   1.3980E-004   3.1000E-005   3.6970E-005   3.2270E-005   1.6280E-004   6.0940E-010   2.2850E-013   1.0810E-009   8.7870E-011   2.9290E-010   2.5630E-015   4.6100E-015   4.9270E-011   1.5540E-015   2.3760E-012   6.5156E-016   5.9900E-011   1.9460E-014   2.6520E-014   1.0820E-009   1.7050E-015   1.1400E-008   6.1250E-013   1.3340E-013   3.1040E-013   9.9999E-026   9.9999E-026   8.5719E-019   1.1950E-018   6.8320E-013   3.8000E-012   6.6600E-019   3.2980E-017   4.9980E-016   6.1710E-014   1.3980E-011   3.1788E-016   3.0064E-018   2.1790E-015   2.3590E-013   8.5050E-018   1.4270E-011   4.6110E-016   7.3810E-010   5.8400E-015   1.0999E-015   2.1880E-010   1.7560E-009   1.8620E-011   1.8300E-008   4.1670E-009   2.8780E-010   1.5070E-009   3.3750E-015   1.6270E-010   8.5100E-009   4.9100E-011   2.4510E-012   1.5510E-013   4.7790E-019   6.3690E-020   5.5910E-021   3.4780E-021   9.9987E-026   6.1250E-024   1.9910E-023   8.5580E-018   2.7170E-010   1.3440E-009   1.5060E-012   5.0430E-008   2.7660E-012 
  7.192794193E+006   9.5632E-008   9.9259E+002   1.1474E+005   5.1550E-006   5.0000E-001   9.9919E-002   1.0430E-007   9.7679E-012   5.1410E-011   4.0820E-011   3.3410E-008   1.0760E-005   1.5350E-006   3.6000E-009   2.3040E-007   8.2360E-005   7.2290E-009   1.3850E-010   3.4080E-010   7.4260E-011   1.0750E-015   2.6180E-014   6.4240E-013   1.1951E-020   7.0080E-009   4.5420E-011   1.0013E-016   3.6360E-005   1.3170E-011   1.1460E-011   4.4360E-011   4.0830E-010   1.5070E-008   1.7000E-008   1.3550E-005   3.9280E-007   1.3780E-005   3.9850E-007   3.8290E-007   8.3900E-008   8.1180E-009   3.0560E-009   1.1230E-011   4.5430E-017   2.9740E-020   1.8910E-020   8.5400E-023   4.8410E-022   1.4310E-015   1.4510E-017   9.9919E-017   1.4710E-008   9.4830E-007   4.1540E-011   1.0280E-004   1.3510E-005   8.2640E-006   1.3380E-005   1.5480E-006   1.5480E-006   6.9660E-006   3.1000E-006   6.1940E-006   7.2340E-006   2.0670E-007   3.7170E-006   3.2421E-015   9.9919E-017   2.6700E-006   9.9919E-017   1.3980E-004   3.1000E-005   3.6970E-005   3.2270E-005   1.6280E-004   6.0940E-010   2.2850E-013   1.0810E-009   8.7870E-011   2.9290E-010   2.5666E-015   4.6100E-015   4.9270E-011   1.5540E-015   2.3760E-012   6.5173E-016   5.9900E-011   1.9460E-014   2.6520E-014   1.0820E-009   1.7050E-015   1.1400E-008   6.1250E-013   1.3340E-013   3.1040E-013   9.9999E-026   9.9999E-026   8.5719E-019   1.1950E-018   6.8319E-013   3.8000E-012   6.6600E-019   3.2979E-017   4.9980E-016   6.1710E-014   1.3979E-011   5.9236E-016   3.0233E-018   2.1790E-015   2.3590E-013   8.5050E-018   1.4270E-011   4.6110E-016   7.3810E-010   5.8400E-015   1.0999E-015   2.1880E-010   1.7560E-009   1.8620E-011   1.8300E-008   4.1670E-009   2.8780E-010   1.5070E-009   3.3750E-015   1.6270E-010   8.5100E-009   4.9100E-011   2.4510E-012   1.5510E-013   4.7790E-019   6.3690E-020   5.5910E-021   3.4780E-021   9.9984E-026   6.1250E-024   1.9910E-023   8.5580E-018   2.7170E-010   1.3440E-009   1.5060E-012   5.0430E-008   2.7660E-012 
  8.361795850E+006   1.1303E-007   1.7045E+003   1.2030E+005   5.1550E-006   5.0000E-001   9.9919E-002   1.0430E-007   9.7684E-012   5.1410E-011   4.0820E-011   3.3410E-008   1.0760E-005   1.5350E-006   3.6005E-009   2.3040E-007   8.2360E-005   7.2290E-009   1.3850E-010   3.4080E-010   7.4260E-011   1.0750E-015   2.6180E-014   6.4240E-013   1.4204E-020   7.0080E-009   4.5420E-011   1.0013E-016   3.6360E-005   1.3262E-011   1.1460E-011   4.4360E-011   4.0830E-010   1.5070E-008   1.7000E-008   1.3550E-005   3.9280E-007   1.3780E-005   3.9850E-007   3.8290E-007   8.3900E-008   8.1180E-009   3.0560E-009   1.1230E-011   4.5430E-017   2.9740E-020   1.8910E-020   8.5400E-023   4.8410E-022   1.4341E-015   1.4510E-017   9.9919E-017   1.4710E-008   9.4830E-007   4.1540E-011   1.0280E-004   1.3510E-005   8.2640E-006   1.3380E-005   1.5480E-006   1.5480E-006   6.9660E-006   3.1000E-006   6.1940E-006   7.2340E-006   2.0670E-007   3.7170E-006   3.2421E-015   9.9919E-017   2.6700E-006   9.9919E-017   1.3980E-004   3.1000E-005   3.6970E-005   3.2270E-005   1.6280E-004   6.0940E-010   2.2849E-013   1.0810E-009   8.7870E-011   2.9290E-010   2.6128E-015   4.6100E-015   4.9270E-011   1.5540E-015   2.3760E-012   6.5194E-016   5.9900E-011   1.9460E-014   2.6520E-014   1.0820E-009   1.7051E-015   1.1400E-008   6.1250E-013   1.3340E-013   3.1040E-013   9.9999E-026   9.9999E-026   8.5717E-019   1.1950E-018   6.8319E-013   3.8000E-012   6.6600E-019   3.2978E-017   4.9980E-016   6.1710E-014   1.3979E-011   9.2499E-016   3.0543E-018   2.1790E-015   2.3590E-013   8.5050E-018   1.4270E-011   4.6110E-016   7.3810E-010   5.8400E-015   1.0998E-015   2.1880E-010   1.7560E-009   1.8620E-011   1.8300E-008   4.1670E-009   2.8780E-010   1.5070E-009   3.3750E-015   1.6270E-010   8.5100E-009   4.9100E-011   2.4510E-012   1.5510E-013   4.7790E-019   6.3690E-020   5.5910E-021   3.4780E-021   9.9980E-026   6.1250E-024   1.9910E-023   8.5580E-018   2.7170E-010   1.3440E-009   1.5060E-012   5.0430E-008   2.7660E-012 
  9.530797507E+006   1.3134E-007   2.7032E+003   1.2702E+005   5.1550E-006   5.0000E-001   9.9919E-002   1.0430E-007   9.7925E-012   5.1410E-011   4.0820E-011   3.3410E-008   1.0760E-005   1.5350E-006   3.6048E-009   2.3040E-007   8.2360E-005   7.2290E-009   1.3850E-010   3.4080E-010   7.4260E-011   1.0750E-015   2.6180E-014   6.4240E-013   5.1834E-020   7.0080E-009   4.5420E-011   1.0022E-016   3.6360E-005   1.6077E-011   1.1460E-011   4.4360E-011   4.0829E-010   1.5070E-008   1.7000E-008   1.3550E-005   3.9280E-007   1.3780E-005   3.9850E-007   3.8290E-007   8.3900E-008   8.1180E-009   3.0560E-009   1.1230E-011   4.5430E-017   2.9740E-020   1.8910E-020   8.5400E-023   4.8410E-022   1.4723E-015   1.4510E-017   9.9919E-017   1.4710E-008   9.4830E-007   4.1540E-011   1.0280E-004   1.3510E-005   8.2640E-006   1.3380E-005   1.5480E-006   1.5480E-006   6.9660E-006   3.1000E-006   6.1940E-006   7.2340E-006   2.0670E-007   3.7170E-006   3.2421E-015   9.9919E-017   2.6700E-006   9.9919E-017   1.3980E-004   3.1000E-005   3.6970E-005   3.2270E-005   1.6280E-004   6.0940E-010   2.2849E-013   1.0810E-009   8.7870E-011   2.9290E-010   2.8012E-015   4.6100E-015   4.9270E-011   1.5540E-015   2.3760E-012   6.5220E-016   5.9900E-011   1.9460E-014   2.6520E-014   1.0820E-009   1.7054E-015   1.1400E-008   6.1250E-013   1.3340E-013   3.1040E-013   9.9999E-026   9.9999E-026   8.5715E-019   1.1950E-018   6.8318E-013   3.8000E-012   6.6600E-019   3.2977E-017   4.9980E-016   6.1710E-014   1.3979E-011   1.3125E-015   3.1050E-018   2.1790E-015   2.3590E-013   8.5050E-018   1.4270E-011   4.6110E-016   7.3810E-010   5.8400E-015   1.0997E-015   2.1880E-010   1.7560E-009   1.8620E-011   1.8300E-008   4.1670E-009   2.8780E-010   1.5070E-009   3.3750E-015   1.6270E-010   8.5100E-009   4.9100E-011   2.4510E-012   1.5510E-013   4.7790E-019   6.3690E-020   5.5910E-021   3.4780E-021   9.9977E-026   6.1250E-024   1.9910E-023   8.5580E-018   2.7170E-010   1.3440E-009   1.5060E-012   5.0430E-008   2.7660E-012 
